time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,007000;0,0043;0,0477;-0,7227;0,724
0,007000;-0,0789;0,1228;-0,4905;0,512
0,008000;-0,1045;0,1258;-0,3965;0,429
0,008000;-0,1489;0,0967;-0,2278;0,289
0,008000;-0,1559;-0,0045;-0,1357;0,207
0,011000;-0,1457;-0,0045;-0,1351;0,199
0,017000;-0,0826;-0,1588;-0,1925;0,263
0,031000;-0,0540;-0,1797;-0,2411;0,305
0,040000;-0,0531;-0,1756;-0,2421;0,304
0,046000;-0,0303;-0,1113;-0,2144;0,243
0,056000;-0,0388;-0,0802;-0,1007;0,134
0,075000;-0,0367;-0,0636;-0,1019;0,126
0,076000;-0,0008;-0,0303;-0,1464;0,150
0,088000;0,0429;-0,0863;-0,1884;0,212
0,097000;0,0762;-0,1089;-0,1993;0,240
0,112000;0,1169;-0,1965;-0,2077;0,309
0,121000;0,1546;-0,2726;-0,1081;0,332
0,126000;0,1516;-0,2315;-0,0227;0,278
0,136000;0,0713;-0,1696;0,0271;0,186
0,148000;-0,0014;-0,0846;-0,0664;0,108
0,160000;0,0003;-0,0847;-0,0663;0,108
0,168000;-0,0556;-0,0471;-0,2169;0,229
0,176000;-0,0548;-0,0481;-0,2165;0,229
0,194000;-0,0261;-0,1114;-0,2450;0,270
0,197000;-0,0167;-0,0929;-0,2209;0,240
0,208000;-0,0316;-0,0818;-0,2231;0,240
0,218000;-0,0323;-0,0823;-0,2230;0,240
0,227000;-0,0234;-0,0897;-0,2924;0,307
0,237000;-0,0102;-0,0849;-0,3069;0,319
0,246000;-0,0649;-0,0458;-0,3096;0,320
0,262000;-0,0998;-0,0253;-0,3029;0,320
0,269000;-0,0723;-0,0689;-0,2675;0,286
0,279000;-0,0020;-0,0877;-0,2277;0,244
0,296000;0,0026;-0,1345;-0,1832;0,227
0,298000;-0,0006;-0,1307;-0,1845;0,226
0,307000;-0,0181;-0,0932;-0,1713;0,196
0,318000;-0,0182;-0,0871;-0,1844;0,205
0,328000;-0,0155;-0,0404;-0,1544;0,160
0,338000;-0,0344;-0,0178;-0,1458;0,151
0,347000;-0,0435;-0,0341;-0,2089;0,216
0,361000;-0,0446;-0,0326;-0,2094;0,217
0,368000;-0,1024;0,0020;-0,2073;0,231
0,376000;-0,0890;0,0202;-0,2269;0,245
0,398000;-0,0318;0,0268;-0,2323;0,236
0,399000;-0,0363;0,0295;-0,2333;0,238
0,407000;-0,1490;0,1166;-0,2991;0,354
0,418000;-0,2627;0,2462;-0,3383;0,494
0,426000;-0,3156;0,3221;-0,3723;0,585
0,437000;0,1764;0,0164;-0,5087;0,539
0,449000;-0,5952;0,3671;-0,8992;1,139
0,471000;-0,5930;0,3679;-0,8992;1,138
0,478000;-0,3018;0,5207;-0,6264;0,869
0,482000;-0,4129;0,6121;-0,5324;0,910
0,514000;-0,3909;0,6081;-0,5299;0,896
0,517000;-0,6816;0,5625;-0,8994;1,261
0,518000;-0,4011;0,4761;-1,1408;1,300
0,519000;-0,4014;0,4348;-1,3221;1,449
0,527000;-0,3604;0,4533;-1,3236;1,445
0,537000;-0,4191;0,4204;-0,9398;1,112
0,546000;-0,3573;0,3530;-0,2547;0,563
0,562000;-0,2695;0,1595;0,1417;0,344
0,569000;-0,2287;0,1918;0,1380;0,329
0,578000;-0,1656;-0,0872;0,1706;0,253
0,599000;-0,1141;-0,0510;-0,0997;0,160
0,601000;-0,1955;-0,2216;-1,0514;1,092
0,608000;-0,1630;-0,2001;-1,0527;1,084
0,619000;-0,2904;-0,0192;-1,4135;1,443
0,629000;-0,5140;0,2492;-1,7309;1,823
0,638000;-0,4286;0,3005;-1,7310;1,808
0,647000;-0,6116;0,4065;-1,9784;2,110
0,663000;-0,7105;0,1583;-1,4478;1,621
0,670000;-1,0473;-0,1314;-0,5046;1,170
0,677000;-0,4985;-0,5848;0,7009;1,040
0,704000;-0,5696;-1,3991;1,4197;2,073
0,707000;-0,5325;-1,5810;1,4077;2,183
0,708000;-0,3915;-1,5696;0,8910;1,847
0,719000;0,7950;-1,4475;0,0793;1,653
0,727000;0,1300;-1,7391;-0,1509;1,751
0,739000;0,1750;-1,6947;-0,1465;1,710
0,749000;0,6136;-3,3383;1,0637;3,557
0,763000;0,7357;-3,7882;1,2768;4,065
0,769000;0,5680;-3,5874;0,5909;3,680
0,813000;0,6051;-3,4864;0,5885;3,587
0,816000;-0,0966;-1,5027;-1,3929;2,051
0,817000;-0,2867;-0,8158;-1,2392;1,511
0,818000;-0,3328;-0,3818;0,1204;0,521
0,819000;-0,2998;-0,2092;0,8802;0,953
0,828000;-0,2497;-0,0669;1,5908;1,612
0,838000;-0,1780;0,0284;1,6088;1,619
0,847000;-0,0665;0,0295;1,2149;1,217
0,858000;-0,0547;0,0729;1,2173;1,221
0,894000;0,3024;-0,5397;-0,1850;0,646
0,896000;0,2485;-0,7753;-0,5599;0,988
0,896000;0,2218;-0,8426;-0,5782;1,046
0,899000;0,1960;-0,8593;-0,5858;1,058
0,907000;-0,2670;-0,4639;-0,6914;0,874
0,918000;-0,1114;-0,5168;-1,0180;1,147
0,930000;-0,1998;-0,5379;-0,9024;1,069
0,939000;0,2249;-0,3304;-0,4119;0,574
0,948000;0,1140;0,0701;0,0237;0,136
0,959000;0,1625;0,0728;0,0397;0,182
0,973000;-0,1599;0,2079;0,0324;0,264
1,011000;0,1536;0,2066;0,0867;0,272
1,012000;-0,0715;0,2188;-0,0854;0,245
1,013000;-0,1544;0,0287;-0,5580;0,580
1,015000;-0,1380;0,1684;-0,6323;0,669
1,018000;-0,2095;-0,0657;-0,5089;0,554
1,032000;-0,1472;-0,1836;-0,3955;0,460
1,041000;-0,1165;-0,1730;-0,2083;0,295
1,050000;-0,1091;-0,1623;-0,2064;0,284
1,059000;-0,1972;-0,1174;-0,0743;0,241
1,068000;-0,5079;0,0724;0,0308;0,514
1,087000;-0,4707;0,0224;-0,1264;0,488
1,090000;-0,6265;0,1182;-0,1888;0,665
1,098000;-0,6922;0,4156;0,0141;0,807
1,110000;-0,5407;0,4779;0,1479;0,737
1,119000;-0,6170;0,3230;-0,0567;0,699
1,128000;-0,5671;0,2859;-0,0370;0,636
1,141000;-0,4184;-0,0979;-0,4428;0,617
1,149000;-0,4644;-0,2375;-1,0064;1,134
1,160000;-0,6265;-0,3692;-0,9170;1,170
1,201000;-0,7970;-0,0215;-0,3294;0,863
1,203000;-0,6783;0,0931;0,0002;0,685
1,204000;-0,6533;-0,0078;0,4381;0,787
1,205000;-0,6261;-0,1677;0,6068;0,888
1,208000;-0,2764;-0,4113;-0,4463;0,667
1,219000;-0,2840;-0,6250;-1,1304;1,323
1,230000;-0,1621;-0,7192;-1,0580;1,290
1,240000;0,1652;-0,5374;-1,5318;1,632
1,248000;-0,3059;-0,3900;-1,4938;1,574
1,264000;-0,1605;-0,4366;-1,4046;1,480
1,312000;0,0498;0,0429;-2,1425;2,144
1,314000;0,6284;0,0499;-2,3755;2,458
1,317000;0,5018;-0,1165;-1,8800;1,949
1,318000;0,3703;-0,1453;-1,3325;1,391
1,319000;0,0880;-0,2408;-0,8319;0,870
1,326000;-0,3528;-0,3297;-0,5837;0,758
1,330000;-0,1782;-0,2492;-0,4570;0,550
1,340000;-0,5739;-0,1705;-0,4772;0,766
1,350000;-0,4140;-0,2535;-0,1584;0,511
1,360000;-0,2708;-0,1867;-0,0379;0,331
1,368000;-0,1715;-0,3223;0,3045;0,475
1,379000;-0,2009;-0,2829;0,1986;0,400
1,390000;-0,4509;-0,2329;-0,0543;0,510
1,408000;-0,5588;-0,1574;-0,1645;0,603
1,410000;-0,4012;0,0642;-0,0620;0,411
1,419000;-0,2510;0,2134;0,1638;0,368
1,429000;-0,0418;0,3217;0,4784;0,578
1,440000;0,0124;0,3505;0,5359;0,640
1,448000;-0,2734;0,3468;0,8765;0,981
1,460000;-0,5848;0,3921;0,7555;1,033
1,471000;-1,0982;0,3272;0,2194;1,167
1,493000;-1,2374;0,3636;-0,0644;1,291
1,495000;-1,0473;0,4273;-0,7772;1,372
1,499000;-1,0195;0,4222;-0,7439;1,331
1,508000;-0,2905;0,0998;-1,8751;1,900
1,519000;-0,5393;0,1409;-1,4107;1,517
1,530000;-1,4415;0,1728;-1,3065;1,953
1,540000;-1,4223;0,1964;-1,2849;1,927
1,548000;-0,9486;-0,1671;-0,5982;1,134
1,559000;-0,6109;-0,2054;-0,0238;0,645
1,569000;-0,4633;-0,1348;0,3226;0,580
1,579000;-0,4486;-0,1322;0,3407;0,579
1,611000;-0,2890;-0,0363;0,3430;0,450
1,612000;0,1805;-0,0585;0,0326;0,192
1,613000;0,5763;-0,1098;-0,1457;0,604
1,618000;0,3396;0,0705;-0,9284;0,991
1,628000;0,3430;0,0963;-1,1254;1,180
