RI	RS	VM	VL
403.36950249353714	218.49181385066595	-3008.464206097631	-151.2635634350764
588.2471911364083	252.1059390584607	-2756.35826703917	67.22825041558951
470.5977529091267	50.42118781169214	-2134.4969506949674	-33.61412520779476
-33.61412520779476	-16.80706260389738	-1865.5839490326093	-537.8260033247161
-235.29887645456336	67.22825041558951	-369.7553772857424	-1193.301444876714
-168.07062603897378	151.2635634350764	-1714.3203855975325	-991.6166936299454
-134.45650083117903	252.1059390584607	-3848.8173362925	-890.7743180065611
-235.29887645456336	151.2635634350764	-1697.5133229936355	-1226.9155700845088
-336.14125207794757	-50.42118781169214	3714.360835461321	-722.7036919675874
-470.5977529091267	151.2635634350764	3260.5701451560917	-336.14125207794757
-369.7553772857424	184.8776886428712	1210.1085074806113	722.7036919675874
-638.6683789481004	-100.84237562338429	-84.03531301948689	1462.214446539072
-773.1248797792795	-336.14125207794757	-789.9319423831769	1361.3720709156878
-655.4754415519978	-352.948314681845	-2084.0757628832753	521.0189407208188
-470.5977529091267	-268.91300166235806	-3210.1489573443996	-184.8776886428712
-436.9836277013319	-168.07062603897378	-2521.059390584607	-470.5977529091267
-403.36950249353714	-218.49181385066595	-554.6330659286136	-621.861316344203
-470.5977529091267	-302.5271268701528	-672.2825041558951	420.17656509743455
-420.17656509743455	-336.14125207794757	-1529.4426969546614	1361.3720709156878
-201.68475124676857	-319.3341894740502	-1916.0051368443012	1764.7415734092249
-67.22825041558951	-285.72006426625546	-1411.79325872738	302.5271268701528
33.61412520779476	-151.2635634350764	-1764.7415734092249	-655.4754415519978
151.2635634350764	0.0	-924.3884432143559	-873.9672554026638
302.5271268701528	168.07062603897378	806.7390049870743	-655.4754415519978
302.5271268701528	184.8776886428712	3008.464206097631	117.64943822728168
403.36950249353714	235.29887645456336	3848.8173362925	571.4401285325109
554.6330659286136	588.2471911364083	605.0542537403056	-235.29887645456336
605.0542537403056	588.2471911364083	-235.29887645456336	-806.7390049870743
571.4401285325109	453.7906903052293	1126.0731944611243	-773.1248797792795
605.0542537403056	453.7906903052293	1378.179133519585	-521.0189407208188
369.7553772857424	268.91300166235806	1394.9861961234824	-285.72006426625546
201.68475124676857	-218.49181385066595	2487.445265376812	470.5977529091267
-50.42118781169214	-571.4401285325109	3529.4831468184498	386.56243988963973
-252.1059390584607	-521.0189407208188	3361.4125207794764	-218.49181385066595
-235.29887645456336	-521.0189407208188	638.6683789481004	16.80706260389738
-134.45650083117903	-453.7906903052293	-184.8776886428712	33.61412520779476
-100.84237562338429	-403.36950249353714	218.49181385066595	403.36950249353714
-201.68475124676857	-436.9836277013319	1277.3367578962009	857.1601927987663
-201.68475124676857	-319.3341894740502	1731.12744820143	689.0895667597925
-117.64943822728168	-16.80706260389738	1916.0051368443012	-67.22825041558951
67.22825041558951	268.91300166235806	453.7906903052293	-571.4401285325109
420.17656509743455	453.7906903052293	-1462.214446539072	-1159.6873196689191
1058.844944045535	773.1248797792795	-2521.059390584607	-1932.8121994481987
2184.9181385066595	1210.1085074806113	-4235.37977618214	-2201.725201110557
2235.3393263183516	1142.8802570650219	-4571.521028260087	-2134.4969506949674
1529.4426969546614	773.1248797792795	-789.9319423831769	-1563.0568221624562
588.2471911364083	352.948314681845	4840.434029922445	470.5977529091267
-436.9836277013319	268.91300166235806	2084.0757628832753	2084.0757628832753
-1462.214446539072	-252.1059390584607	1495.828571746867	4184.958588370448
-2352.9887645456333	-974.809631026048	-1058.844944045535	3479.0619590067577
-2722.7441418313756	-991.6166936299454	-2588.287641000197	773.1248797792795
-2453.8311401690175	-789.9319423831769	-2554.6735157924018	-739.5107545714848
-1546.249759558559	-638.6683789481004	-1663.8991977858407	33.61412520779476
-1058.844944045535	-554.6330659286136	-470.5977529091267	-638.6683789481004
-873.9672554026638	-504.2118781169214	-285.72006426625546	-1260.5296952923036
-453.7906903052293	-302.5271268701528	-1445.4073839351747	-1109.2661318572273
-50.42118781169214	-168.07062603897378	-3058.885393909323	-1159.6873196689191
436.9836277013319	-50.42118781169214	-4437.064527428909	-1008.4237562338428
739.5107545714848	50.42118781169214	-4672.363403883472	-1075.6520066494322
806.7390049870743	100.84237562338429	-4453.871590032806	-1075.6520066494322
689.0895667597925	100.84237562338429	-2084.0757628832753	-1495.828571746867
403.36950249353714	-16.80706260389738	3848.8173362925	-1428.6003213312774
201.68475124676857	-100.84237562338429	6403.490852084902	-319.3341894740502
33.61412520779476	-134.45650083117903	8537.98780277987	1243.722632688406
-201.68475124676857	-218.49181385066595	7680.827609981103	2100.8828254871723
-201.68475124676857	-134.45650083117903	7243.84398227977	2722.7441418313756
-168.07062603897378	67.22825041558951	3663.939647649629	1949.619262052096
-117.64943822728168	84.03531301948689	-168.07062603897378	1058.844944045535
100.84237562338429	235.29887645456336	-2184.9181385066595	-285.72006426625546
252.1059390584607	386.56243988963973	-5378.260033247161	-1260.5296952923036
436.9836277013319	453.7906903052293	-6470.71910250049	-1008.4237562338428
436.9836277013319	268.91300166235806	-2857.200642662555	-252.1059390584607
235.29887645456336	-134.45650083117903	2201.725201110557	722.7036919675874
184.8776886428712	-268.91300166235806	3462.25489640286	1042.0378814416376
117.64943822728168	-319.3341894740502	2134.4969506949674	1310.9508831039957
33.61412520779476	-504.2118781169214	941.1955058182534	1596.670947370251
-50.42118781169214	-487.404815513024	487.404815513024	268.91300166235806
100.84237562338429	-151.2635634350764	-1630.2850725780459	-1159.6873196689191
268.91300166235806	-33.61412520779476	-3966.4667745197817	-1344.5650083117903
470.5977529091267	151.2635634350764	-4672.363403883472	-1210.1085074806113
672.2825041558951	100.84237562338429	-3260.5701451560917	-739.5107545714848
605.0542537403056	0.0	-1294.1438205000984	-403.36950249353714
