MR32 CSV
Name,EMG 1 channel recording 1-1
Frequency,2000
Date,25-03-2022 10:32:29
"Time,s","VMO RT,uV"
0.0000,-29.3
0.0005,-29.61
0.0010,-33.27
0.0015,-38.15
0.0020,-41.2
0.0025,-41.51
0.0030,-42.42
0.0035,-43.64
0.0040,-42.73
0.0045,-38.76
0.0050,-35.71
0.0055,-36.63
0.0060,-37.85
0.0065,-35.71
0.0070,-30.83
0.0075,-26.86
0.0080,-24.11
0.0085,-20.45
0.0090,-14.35
0.0095,-7.937
0.0100,-2.749
0.0105,-0.002135
0.0110,0.6083
0.0115,1.219
0.0120,3.05
0.0125,3.355
0.0130,-0.6125
0.0135,-5.19
0.0140,-0.3073
0.0145,14.65
0.0150,28.69
0.0155,30.21
0.0160,23.19
0.0165,18.31
0.0170,18
0.0175,15.26
0.0180,8.238
0.0185,1.829
0.0190,-1.223
0.0195,-4.275
0.0200,-8.242
0.0205,-8.242
0.0210,-2.749
0.0215,2.439
0.0220,2.134
0.0225,-0.002135
0.0230,1.524
0.0235,6.102
0.0240,7.323
0.0245,3.965
0.0250,2.134
0.0255,5.186
0.0260,10.68
0.0265,14.34
0.0270,16.17
0.0275,16.78
0.0280,14.95
0.0285,10.37
0.0290,5.491
0.0295,2.745
0.0300,-0.6125
0.0305,-8.853
0.0310,-18.92
0.0315,-22.89
0.0320,-18.01
0.0325,-9.463
0.0330,-3.97
0.0335,-1.833
0.0340,-0.002135
0.0345,2.745
0.0350,5.797
0.0355,6.712
0.0360,6.407
0.0365,5.797
0.0370,6.407
0.0375,7.628
0.0380,8.543
0.0385,9.154
0.0390,8.849
0.0395,8.849
0.0400,8.543
0.0405,8.238
0.0410,8.238
0.0415,8.543
0.0420,8.543
0.0425,7.323
0.0430,5.186
0.0435,3.965
0.0440,4.271
0.0445,5.797
0.0450,6.407
0.0455,5.797
0.0460,5.491
0.0465,5.491
0.0470,5.491
0.0475,5.186
0.0480,5.186
0.0485,6.407
0.0490,7.017
0.0495,6.407
0.0500,5.186
0.0505,4.881
0.0510,4.881
0.0515,4.881
0.0520,4.881
0.0525,6.102
0.0530,7.323
0.0535,7.323
0.0540,5.491
0.0545,3.965
0.0550,3.965
0.0555,3.965
0.0560,3.05
0.0565,2.134
0.0570,2.134
0.0575,2.134
0.0580,1.524
0.0585,-0.002135
0.0590,-0.9177
0.0595,-1.833
0.0600,-1.833
0.0605,-1.528
0.0610,-1.223
0.0615,-1.833
0.0620,-2.138
0.0625,-1.223
0.0630,-0.3073
0.0635,-1.223
0.0640,-2.749
0.0645,-3.054
0.0650,-2.138
0.0655,-1.833
0.0660,-3.359
0.0665,-3.97
0.0670,-3.359
0.0675,-2.749
0.0680,-2.749
0.0685,-3.359
0.0690,-3.359
0.0695,-2.138
0.0700,-0.9177
0.0705,-0.3073
0.0710,-0.6125
0.0715,-1.223
0.0720,-1.528
0.0725,-1.223
0.0730,-0.9177
0.0735,-1.223
0.0740,-1.528
0.0745,-0.9177
0.0750,-0.3073
0.0755,-0.6125
0.0760,-0.6125
0.0765,0.3031
0.0770,1.219
0.0775,1.219
0.0780,0.9134
0.0785,1.829
0.0790,2.745
0.0795,1.829
0.0800,-0.002135
0.0805,-1.223
0.0810,-1.833
0.0815,-3.359
0.0820,-5.496
0.0825,-6.716
0.0830,-6.106
0.0835,-5.19
0.0840,-4.885
0.0845,-3.97
0.0850,-3.054
0.0855,-2.444
0.0860,-3.054
0.0865,-4.275
0.0870,-5.496
0.0875,-6.716
0.0880,-7.937
0.0885,-7.937
0.0890,-7.022
0.0895,-6.106
0.0900,-5.801
0.0905,-4.58
0.0910,-3.054
0.0915,-2.444
0.0920,-2.444
0.0925,-1.833
0.0930,-0.3073
0.0935,0.3031
0.0940,0.3031
0.0945,-0.002135
0.0950,0.3031
0.0955,0.9134
0.0960,0.9134
0.0965,0.6083
0.0970,-0.002135
0.0975,-0.3073
0.0980,-0.3073
0.0985,0.3031
0.0990,2.745
0.0995,4.271
0.1000,3.66
0.1005,2.134
0.1010,1.524
0.1015,2.439
0.1020,2.745
0.1025,2.745
0.1030,2.439
0.1035,2.439
0.1040,2.439
0.1045,2.439
0.1050,3.965
0.1055,6.712
0.1060,9.154
0.1065,8.849
0.1070,6.407
0.1075,3.965
0.1080,3.355
0.1085,4.576
0.1090,5.491
0.1095,4.881
0.1100,1.524
0.1105,-2.138
0.1110,-4.275
0.1115,-3.359
0.1120,-1.833
0.1125,-1.833
0.1130,-2.138
0.1135,-1.528
0.1140,-1.528
0.1145,-3.97
0.1150,-7.632
0.1155,-8.242
0.1160,-5.801
0.1165,-3.97
0.1170,-5.496
0.1175,-7.327
0.1180,-7.632
0.1185,-7.022
0.1190,-7.937
0.1195,-8.853
0.1200,-8.548
0.1205,-7.327
0.1210,-7.327
0.1215,-8.548
0.1220,-8.548
0.1225,-7.632
0.1230,-7.937
0.1235,-9.158
0.1240,-9.463
0.1245,-7.022
0.1250,-4.58
0.1255,-3.054
0.1260,-1.833
0.1265,-0.6125
0.1270,-0.002135
0.1275,-0.6125
0.1280,-0.9177
0.1285,-0.002135
0.1290,0.6083
0.1295,0.9134
0.1300,0.9134
0.1305,2.134
0.1310,3.66
0.1315,3.66
0.1320,2.745
0.1325,2.439
0.1330,3.05
0.1335,3.05
0.1340,2.439
0.1345,1.829
0.1350,2.439
0.1355,2.745
0.1360,2.439
0.1365,2.134
0.1370,2.134
0.1375,2.439
0.1380,2.745
0.1385,2.439
0.1390,2.439
0.1395,2.745
0.1400,2.745
0.1405,2.745
0.1410,2.745
0.1415,2.439
0.1420,2.134
0.1425,1.829
0.1430,2.134
0.1435,2.134
0.1440,1.829
0.1445,1.829
0.1450,1.829
0.1455,1.829
0.1460,1.524
0.1465,1.219
0.1470,1.219
0.1475,1.219
0.1480,1.219
0.1485,0.9134
0.1490,0.9134
0.1495,0.9134
0.1500,1.219
0.1505,1.219
0.1510,1.524
0.1515,2.134
0.1520,2.134
0.1525,1.829
0.1530,1.829
0.1535,2.439
0.1540,2.439
0.1545,1.829
0.1550,1.219
0.1555,1.829
0.1560,2.745
0.1565,2.745
0.1570,1.524
0.1575,1.524
0.1580,2.439
0.1585,2.439
0.1590,1.524
0.1595,-0.002135
0.1600,-0.3073
0.1605,-0.002135
0.1610,-0.002135
0.1615,-0.002135
0.1620,0.3031
0.1625,0.3031
0.1630,-0.002135
0.1635,-0.9177
0.1640,-1.223
0.1645,-0.9177
0.1650,-0.002135
0.1655,0.9134
0.1660,2.134
0.1665,2.439
0.1670,1.524
0.1675,0.3031
0.1680,-0.002135
0.1685,0.9134
0.1690,1.829
0.1695,1.829
0.1700,1.524
0.1705,1.829
0.1710,2.439
0.1715,2.134
0.1720,1.219
0.1725,1.219
0.1730,1.524
0.1735,0.6083
0.1740,-0.9177
0.1745,-1.528
0.1750,-0.002135
0.1755,1.829
0.1760,0.9134
0.1765,-0.6125
0.1770,-0.3073
0.1775,1.219
0.1780,1.829
0.1785,-0.002135
0.1790,-2.138
0.1795,-3.054
0.1800,-2.749
0.1805,-2.444
0.1810,-2.444
0.1815,-2.444
0.1820,-2.749
0.1825,-2.749
0.1830,-1.833
0.1835,-1.528
0.1840,-2.749
0.1845,-4.275
0.1850,-3.97
0.1855,-1.833
0.1860,-0.9177
0.1865,-1.833
0.1870,-2.444
0.1875,-0.9177
0.1880,-0.002135
0.1885,-0.3073
0.1890,-1.223
0.1895,-0.9177
0.1900,-0.3073
0.1905,-1.223
0.1910,-2.444
0.1915,-2.138
0.1920,-0.3073
0.1925,0.6083
0.1930,0.9134
0.1935,0.9134
0.1940,1.524
0.1945,1.524
0.1950,0.9134
0.1955,-0.002135
0.1960,-0.002135
0.1965,0.3031
0.1970,0.9134
0.1975,1.524
0.1980,1.829
0.1985,1.829
0.1990,1.219
0.1995,0.6083
0.2000,-0.002135
0.2005,0.6083
0.2010,1.829
0.2015,1.829
0.2020,-0.002135
0.2025,-1.528
0.2030,-0.9177
0.2035,0.9134
0.2040,2.134
0.2045,1.219
0.2050,-0.002135
0.2055,0.3031
0.2060,1.219
0.2065,1.219
0.2070,0.3031
0.2075,-0.002135
0.2080,0.6083
0.2085,1.219
0.2090,0.9134
0.2095,0.6083
0.2100,0.6083
0.2105,0.9134
0.2110,1.829
0.2115,1.829
0.2120,1.219
0.2125,1.219
0.2130,1.829
0.2135,2.439
0.2140,2.134
0.2145,1.524
0.2150,0.6083
0.2155,0.3031
0.2160,0.3031
0.2165,-0.002135
0.2170,-0.9177
0.2175,-1.223
0.2180,-0.6125
0.2185,0.3031
0.2190,1.219
0.2195,0.9134
0.2200,0.3031
0.2205,-0.6125
0.2210,-1.223
0.2215,-1.223
0.2220,-0.6125
0.2225,-0.3073
0.2230,-0.3073
0.2235,-0.6125
0.2240,-1.223
0.2245,-0.9177
0.2250,-0.002135
0.2255,0.6083
0.2260,0.6083
0.2265,0.3031
0.2270,-0.002135
0.2275,-0.3073
0.2280,-0.3073
0.2285,-0.002135
0.2290,0.3031
0.2295,-0.002135
0.2300,-0.3073
0.2305,-0.9177
0.2310,-0.9177
0.2315,-0.6125
0.2320,-0.9177
0.2325,-0.9177
0.2330,-0.3073
0.2335,-0.002135
0.2340,-0.002135
0.2345,-0.3073
0.2350,-1.223
0.2355,-0.9177
0.2360,-0.002135
0.2365,-0.002135
0.2370,-0.002135
0.2375,-0.3073
0.2380,-0.3073
0.2385,-0.3073
