MR32 CSV
Name,EMG 1 channel recording 1
Frequency,2000
Date,25-03-2022 10:25:34
"Time,s","VMO RT,uV"
0.0000,4.557
0.0005,-8.871
0.0010,-16.2
0.0015,-15.59
0.0020,-12.23
0.0025,-11.01
0.0030,-13.75
0.0035,-20.16
0.0040,-25.35
0.0045,-23.83
0.0050,-15.28
0.0055,-6.124
0.0060,-2.462
0.0065,-2.462
0.0070,-1.852
0.0075,0.895
0.0080,3.642
0.0085,6.388
0.0090,10.97
0.0095,17.07
0.0100,22.26
0.0105,25.92
0.0110,26.53
0.0115,24.39
0.0120,20.12
0.0125,17.38
0.0130,17.68
0.0135,20.12
0.0140,22.56
0.0145,25.62
0.0150,30.19
0.0155,35.38
0.0160,39.65
0.0165,41.49
0.0170,40.88
0.0175,38.43
0.0180,34.47
0.0185,29.89
0.0190,25.31
0.0195,21.04
0.0200,16.77
0.0205,11.58
0.0210,6.388
0.0215,4.863
0.0220,10.36
0.0225,19.51
0.0230,26.23
0.0235,26.23
0.0240,21.95
0.0245,16.46
0.0250,10.97
0.0255,5.778
0.0260,3.337
0.0265,3.337
0.0270,2.116
0.0275,-2.157
0.0280,-8.261
0.0285,-14.06
0.0290,-20.77
0.0295,-30.85
0.0300,-39.7
0.0305,-42.75
0.0310,-40
0.0315,-37.25
0.0320,-36.64
0.0325,-38.17
0.0330,-40.92
0.0335,-43.97
0.0340,-44.88
0.0345,-42.44
0.0350,-40
0.0355,-40
0.0360,-40.31
0.0365,-36.34
0.0370,-29.93
0.0375,-25.66
0.0380,-25.05
0.0385,-23.83
0.0390,-21.69
0.0395,-20.47
0.0400,-20.16
0.0405,-16.5
0.0410,-9.176
0.0415,-3.073
0.0420,-0.631
0.0425,1.2
0.0430,6.083
0.0435,11.27
0.0440,14.32
0.0445,17.38
0.0450,22.26
0.0455,26.84
0.0460,28.67
0.0465,31.41
0.0470,38.74
0.0475,45.45
0.0480,46.67
0.0485,45.76
0.0490,48.51
0.0495,51.25
0.0500,44.23
0.0505,26.53
0.0510,7.914
0.0515,-4.904
0.0520,-18.03
0.0525,-34.2
0.0530,-46.41
0.0535,-46.72
0.0540,-39.39
0.0545,-35.12
0.0550,-37.25
0.0555,-40
0.0560,-41.22
0.0565,-44.27
0.0570,-51.6
0.0575,-57.7
0.0580,-57.7
0.0585,-51.9
0.0590,-44.88
0.0595,-41.22
0.0600,-40.31
0.0605,-39.09
0.0610,-35.12
0.0615,-28.71
0.0620,-21.69
0.0625,-15.89
0.0630,-12.23
0.0635,-11.92
0.0640,-13.14
0.0645,-12.53
0.0650,-8.566
0.0655,-3.988
0.0660,-2.462
0.0665,-3.988
0.0670,-4.599
0.0675,-2.767
0.0680,-0.02059
0.0685,2.421
0.0690,4.863
0.0695,6.999
0.0700,7.304
0.0705,5.473
0.0710,4.557
0.0715,6.388
0.0720,9.135
0.0725,9.746
0.0730,9.135
0.0735,9.746
0.0740,11.27
0.0745,11.88
0.0750,10.05
0.0755,8.525
0.0760,9.44
0.0765,12.49
0.0770,16.15
0.0775,19.21
0.0780,22.87
0.0785,27.14
0.0790,31.72
0.0795,34.77
0.0800,35.99
0.0805,36.91
0.0810,39.96
0.0815,44.54
0.0820,46.67
0.0825,43.32
0.0830,35.99
0.0835,26.84
0.0840,17.07
0.0845,7.609
0.0850,-0.9362
0.0855,-7.956
0.0860,-14.06
0.0865,-21.69
0.0870,-30.54
0.0875,-38.17
0.0880,-42.14
0.0885,-42.44
0.0890,-40
0.0895,-35.42
0.0900,-28.71
0.0905,-22.6
0.0910,-18.64
0.0915,-15.59
0.0920,-10.7
0.0925,-3.378
0.0930,2.726
0.0935,6.083
0.0940,6.083
0.0945,5.778
0.0950,6.083
0.0955,6.694
0.0960,6.694
0.0965,5.778
0.0970,5.778
0.0975,6.694
0.0980,7.914
0.0985,8.83
0.0990,9.44
0.0995,10.05
0.1000,10.05
0.1005,9.135
0.1010,8.22
0.1015,8.83
0.1020,10.36
0.1025,11.27
0.1030,10.66
0.1035,9.746
0.1040,10.36
0.1045,12.49
0.1050,14.02
0.1055,15.54
0.1060,17.68
0.1065,20.12
0.1070,20.43
0.1075,17.68
0.1080,15.85
0.1085,16.15
0.1090,15.54
0.1095,12.49
0.1100,10.66
0.1105,14.02
0.1110,19.51
0.1115,19.51
0.1120,11.27
0.1125,0.895
0.1130,-4.293
0.1135,-2.767
0.1140,2.116
0.1145,6.694
0.1150,7.609
0.1155,4.252
0.1160,-0.02059
0.1165,-1.852
0.1170,-1.241
0.1175,-0.02059
0.1180,-0.02059
0.1185,-0.631
0.1190,-0.9362
0.1195,-0.631
0.1200,0.5898
0.1205,1.505
0.1210,0.2846
0.1215,-3.073
0.1220,-6.43
0.1225,-7.04
0.1230,-6.43
0.1235,-6.124
0.1240,-7.04
0.1245,-7.04
0.1250,-5.514
0.1255,-2.462
0.1260,0.2846
0.1265,3.642
0.1270,6.999
0.1275,11.27
0.1280,14.93
0.1285,17.38
0.1290,17.38
0.1295,14.93
0.1300,11.88
0.1305,9.746
0.1310,8.83
0.1315,7.914
0.1320,4.863
0.1325,-1.241
0.1330,-9.482
0.1335,-14.98
0.1340,-14.98
0.1345,-11.31
0.1350,-10.09
0.1355,-14.36
0.1360,-21.38
0.1365,-24.44
0.1370,-22.91
