BioWare Version 5.2.1.3 Export
Device:	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	500	500
Rate (Hz):	50.000000	50.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	499	499
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	9.980000	9.980000
First sample time (s):	0.000000	0.000000
Normalized force (N):	777.645752	777.645752
Normalized length (m):	1.000000	1.000000
File Information
Date	Nov 04, 2013  13:46:47
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
0.000000	0.024851	0.007395
0.020000	0.024018	0.008283
0.040000	0.023421	0.009472
0.060000	0.023255	0.010668
0.080000	0.023349	0.011746
0.100000	0.023642	0.012152
0.120000	0.024221	0.012323
0.140000	0.024362	0.012757
0.160000	0.024503	0.012979
0.180000	0.024437	0.013087
0.200000	0.024070	0.012738
0.220000	0.023411	0.012015
0.240000	0.022198	0.010795
0.260000	0.021130	0.009474
0.280000	0.019388	0.008133
0.300000	0.018996	0.006023
0.320000	0.019671	0.002901
0.340000	0.019491	-0.000633
0.360000	0.018259	-0.004079
0.380000	0.015715	-0.006755
0.400000	0.012415	-0.009045
0.420000	0.008374	-0.010962
0.440000	0.003845	-0.011796
0.460000	0.000469	-0.011565
0.480000	-0.002347	-0.010106
0.500000	-0.004682	-0.008014
0.520000	-0.005535	-0.005639
0.540000	-0.004224	-0.002957
0.560000	-0.000720	-0.000808
0.580000	0.003365	-0.000252
0.600000	0.007114	-0.000948
0.620000	0.010732	-0.002725
0.640000	0.014494	-0.004922
0.660000	0.017781	-0.006970
0.680000	0.020636	-0.008729
0.700000	0.022909	-0.010110
0.720000	0.024249	-0.010817
0.740000	0.023855	-0.010436
0.760000	0.022215	-0.009258
0.780000	0.020571	-0.007599
0.800000	0.019244	-0.005714
0.820000	0.017869	-0.003350
0.840000	0.016655	-0.000746
0.860000	0.015419	0.001937
0.880000	0.015009	0.003789
0.900000	0.013888	0.004622
0.920000	0.012678	0.004683
0.940000	0.011020	0.004136
0.960000	0.009109	0.003668
0.980000	0.007730	0.003012
1.000000	0.006941	0.001981
1.020000	0.006572	0.000812
1.040000	0.007288	-0.001043
1.060000	0.008078	-0.003247
1.080000	0.007575	-0.005080
1.100000	0.005850	-0.005977
1.120000	0.004435	-0.006187
1.140000	0.003011	-0.006118
1.160000	0.001782	-0.005210
1.180000	0.001484	-0.003831
1.200000	0.001869	-0.002461
1.220000	0.002389	-0.000404
1.240000	0.003358	0.001991
1.260000	0.003970	0.004187
1.280000	0.003594	0.006569
1.300000	0.002420	0.007891
1.320000	0.001418	0.008101
1.340000	0.000956	0.007859
1.360000	0.000981	0.007465
1.380000	0.002605	0.007018
1.400000	0.006316	0.005577
1.420000	0.011323	0.002980
1.440000	0.014071	0.000357
1.460000	0.014993	-0.001745
1.480000	0.015197	-0.003067
1.500000	0.014050	-0.002404
1.520000	0.012651	-0.001052
1.540000	0.011696	0.000908
1.560000	0.011596	0.002119
1.580000	0.011981	0.002263
1.600000	0.012494	0.001458
1.620000	0.013766	-0.000199
1.640000	0.015711	-0.002719
1.660000	0.016666	-0.004979
1.680000	0.015690	-0.006386
1.700000	0.013905	-0.006252
1.720000	0.013297	-0.005694
1.740000	0.013514	-0.005543
1.760000	0.013970	-0.005947
1.780000	0.014158	-0.007077
1.800000	0.014429	-0.008968
1.820000	0.014378	-0.010882
1.840000	0.013316	-0.012773
1.860000	0.012607	-0.013616
1.880000	0.011957	-0.013160
1.900000	0.010105	-0.011292
1.920000	0.007743	-0.008262
1.940000	0.006145	-0.004483
1.960000	0.006484	0.000391
1.980000	0.008955	0.005214
2.000000	0.012804	0.008416
2.020000	0.016066	0.009166
2.040000	0.017040	0.008513
2.060000	0.016569	0.007186
2.080000	0.015888	0.006526
2.100000	0.015844	0.006766
2.120000	0.016044	0.007697
2.140000	0.016187	0.009073
2.160000	0.016421	0.010408
