BioWare Version 5.3.2.9 Export
Device:	Kistler Grande1 9286BA	Kistler Grande1 9286BA
Samples (#):	70000	70000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	69999	69999
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	69.999001	69.999001
First sample time (s):	0.000000	0.000000
Normalized force (N):	1.000000	1.000000
Normalized length (m):	1.000000	1.000000
File Information
Date	Jan 25, 2018  11:14:02
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
0.000000	-0.021809	0.041504
0.001000	-0.021808	0.041520
0.002000	-0.021825	0.041518
0.003000	-0.021817	0.041563
0.004000	-0.021822	0.041547
0.005000	-0.021829	0.041543
0.006000	-0.021827	0.041576
0.007000	-0.021836	0.041540
0.008000	-0.021861	0.041553
0.009000	-0.021868	0.041564
0.010000	-0.021866	0.041576
0.011000	-0.021875	0.041590
0.012000	-0.021892	0.041598
0.013000	-0.021876	0.041554
0.014000	-0.021881	0.041590
0.015000	-0.021888	0.041590
0.016000	-0.021917	0.041583
0.017000	-0.021913	0.041577
0.018000	-0.021916	0.041629
0.019000	-0.021928	0.041624
0.020000	-0.021965	0.041613
0.021000	-0.021955	0.041634
0.022000	-0.021969	0.041631
0.023000	-0.021977	0.041619
0.024000	-0.021973	0.041661
0.025000	-0.021987	0.041656
0.026000	-0.021993	0.041627
0.027000	-0.022023	0.041695
0.028000	-0.022016	0.041685
0.029000	-0.022018	0.041683
0.030000	-0.022054	0.041717
0.031000	-0.022057	0.041675
0.032000	-0.022048	0.041690
0.033000	-0.022054	0.041689
0.034000	-0.022071	0.041704
0.035000	-0.022092	0.041699
0.036000	-0.022090	0.041709
0.037000	-0.022104	0.041729
0.038000	-0.022102	0.041739
0.039000	-0.022102	0.041711
0.040000	-0.022138	0.041734
0.041000	-0.022145	0.041695
0.042000	-0.022129	0.041741
0.043000	-0.022134	0.041754
0.044000	-0.022143	0.041739
0.045000	-0.022152	0.041766
0.046000	-0.022154	0.041769
0.047000	-0.022180	0.041784
0.048000	-0.022149	0.041786
0.049000	-0.022169	0.041782
0.050000	-0.022194	0.041780
0.051000	-0.022176	0.041827
0.052000	-0.022185	0.041816
0.053000	-0.022200	0.041783
0.054000	-0.022208	0.041836
0.055000	-0.022211	0.041800
0.056000	-0.022199	0.041818
0.057000	-0.022200	0.041809
0.058000	-0.022220	0.041830
0.059000	-0.022216	0.041870
0.060000	-0.022231	0.041853
0.061000	-0.022206	0.041837
0.062000	-0.022220	0.041900
0.063000	-0.022228	0.041869
0.064000	-0.022221	0.041850
0.065000	-0.022223	0.041871
