Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	4.409885	-7.919555	666.403268	-6.554334	41.838665	1.215369	-6.278280	-0.983539
0.020	4.440762	-7.852428	666.146245	-6.494264	41.790342	1.213113	-6.273449	-0.974901
0.030	4.463078	-7.785580	665.948691	-6.430612	41.741249	1.210943	-6.267938	-0.965632
0.040	4.474799	-7.717972	665.851060	-6.360760	41.691290	1.208982	-6.261354	-0.955283
0.050	4.480755	-7.647853	665.864196	-6.283267	41.641352	1.207349	-6.253730	-0.943626
0.060	4.489462	-7.574150	665.969976	-6.198023	41.593184	1.206110	-6.245504	-0.930676
0.070	4.507487	-7.497719	666.130893	-6.106262	41.548782	1.205255	-6.237330	-0.916676
0.080	4.535114	-7.421350	666.302165	-6.010459	41.509654	1.204713	-6.229854	-0.902062
0.090	4.565925	-7.348592	666.441622	-5.913961	41.476434	1.204373	-6.223566	-0.887394
0.100	4.590156	-7.282460	666.516830	-5.820188	41.448962	1.204083	-6.218742	-0.873224
0.110	4.599402	-7.224925	666.510858	-5.731534	41.426590	1.203616	-6.215441	-0.859931
0.120	4.589843	-7.177151	666.426618	-5.648400	41.408386	1.202702	-6.213495	-0.847565
0.130	4.562626	-7.139729	666.287743	-5.568916	41.393173	1.201134	-6.212507	-0.835813
0.140	4.522149	-7.112367	666.134041	-5.489695	41.379586	1.198918	-6.211901	-0.824113
0.150	4.474183	-7.093187	666.011591	-5.407437	41.366350	1.196311	-6.211056	-0.811913
0.160	4.425011	-7.078274	665.959964	-5.320628	41.352686	1.193700	-6.209485	-0.798941
0.170	4.381072	-7.062088	666.000472	-5.230411	41.338575	1.191345	-6.206989	-0.785346
0.180	4.347972	-7.038956	666.129149	-5.140227	41.324710	1.189167	-6.203708	-0.771656
0.190	4.328734	-7.005203	666.316427	-5.054542	41.312196	1.186739	-6.200087	-0.758580
0.200	4.322421	-6.960959	666.513575	-4.977446	41.302133	1.183498	-6.196743	-0.746788
0.210	4.324304	-6.910631	666.664753	-4.911725	41.295277	1.179067	-6.194309	-0.736761
0.220	4.327648	-6.861679	666.722515	-4.858487	41.291912	1.173499	-6.193268	-0.728712
0.230	4.326166	-6.822275	666.662888	-4.817133	41.292010	1.167271	-6.193837	-0.722574
0.240	4.315880	-6.798889	666.494725	-4.785519	41.295622	1.160990	-6.195941	-0.718013
0.250	4.295584	-6.794630	666.258987	-4.760344	41.303349	1.154957	-6.199293	-0.714488
0.260	4.266011	-6.808649	666.017598	-4.737821	41.316560	1.148899	-6.203524	-0.711366
0.270	4.228647	-6.836494	665.836186	-4.714478	41.337067	1.142108	-6.208294	-0.708054
0.280	4.185176	-6.871288	665.767022	-4.687775	41.366300	1.133955	-6.213330	-0.704116
0.290	4.137756	-6.905582	665.836825	-4.656387	41.404391	1.124460	-6.218399	-0.699329
0.300	4.089486	-6.933576	666.040994	-4.620172	41.449616	1.114536	-6.223283	-0.693677
0.310	4.044224	-6.953035	666.343931	-4.580008	41.498330	1.105740	-6.227764	-0.687334
0.320	4.005518	-6.966017	666.685122	-4.537511	41.545348	1.099709	-6.231630	-0.680608
0.330	3.975161	-6.977829	666.990939	-4.494612	41.584672	1.097602	-6.234668	-0.673864
0.340	3.952211	-6.994458	667.191284	-4.453060	41.610590	1.099798	-6.236681	-0.667434
0.350	3.933062	-7.019532	667.238004	-4.414058	41.619129	1.105868	-6.237524	-0.661542
0.360	3.912585	-7.052188	667.119853	-4.378176	41.609556	1.114735	-6.237193	-0.656280
0.370	3.885886	-7.086879	666.868308	-4.345509	41.585280	1.124924	-6.235906	-0.651629
0.380	3.849966	-7.115255	666.550770	-4.315842	41.553463	1.134838	-6.234103	-0.647489
0.390	3.804706	-7.129363	666.251953	-4.288703	41.523061	1.143032	-6.232336	-0.643706
0.400	3.752947	-7.124887	666.048913	-4.263377	41.501813	1.148422	-6.231046	-0.640100
0.410	3.699873	-7.103159	665.988085	-4.239129	41.493334	1.150408	-6.230342	-0.636517
0.420	3.652034	-7.070991	666.072270	-4.215674	41.495661	1.148898	-6.229904	-0.632915
0.430	3.616129	-7.038182	666.261689	-4.193614	41.502006	1.144299	-6.229085	-0.629424
0.440	3.597515	-7.013774	666.487986	-4.174439	41.503395	1.137480	-6.227178	-0.626334
0.450	3.598683	-7.002836	666.675600	-4.159910	41.491887	1.129653	-6.223700	-0.623978
0.460	3.618333	-7.005125	666.763060	-4.151129	41.462893	1.122127	-6.218535	-0.622579
0.470	3.651643	-7.015868	666.717838	-4.147862	41.415876	1.115958	-6.211905	-0.622131
0.480	3.691773	-7.028128	666.541685	-4.148598	41.353753	1.111671	-6.204226	-0.622406
0.490	3.732073	-7.035797	666.267065	-4.151349	41.281835	1.109211	-6.195989	-0.623076
0.500	3.768077	-7.036063	665.947923	-4.154731	41.206891	1.108126	-6.187705	-0.623882
0.510	3.798438	-7.030225	665.648593	-4.158702	41.136225	1.107817	-6.179871	-0.624759
0.520	3.824407	-7.022440	665.433044	-4.164484	41.076324	1.107703	-6.172871	-0.625831
0.530	3.848236	-7.017142	665.354393	-4.173709	41.031077	1.107292	-6.166800	-0.627291
0.540	3.871416	-7.016810	665.443900	-4.187371	41.000289	1.106274	-6.161344	-0.629260
0.550	3.893750	-7.021467	665.700654	-4.205230	40.979514	1.104658	-6.155847	-0.631700
0.560	3.913702	-7.030078	666.085985	-4.225989	40.961592	1.102869	-6.149595	-0.634451
0.570	3.929715	-7.042612	666.527490	-4.247992	40.939238	1.101693	-6.142168	-0.637332
0.580	3.941676	-7.061256	666.934685	-4.269963	40.907429	1.102008	-6.133648	-0.640237
0.590	3.951708	-7.089863	667.223104	-4.291365	40.864626	1.104412	-6.124582	-0.643168
0.600	3.963837	-7.131895	667.338861	-4.312277	40.812605	1.108915	-6.115724	-0.646190
0.610	3.982540	-7.188020	667.274327	-4.332958	40.755378	1.114854	-6.107740	-0.649352
0.620	4.010723	-7.254729	667.068822	-4.353453	40.697902	1.121090	-6.101005	-0.652624
0.630	4.047985	-7.324609	666.794110	-4.373529	40.645055	1.126419	-6.095593	-0.655904
0.640	4.089967	-7.387965	666.530041	-4.392931	40.600879	1.130013	-6.091380	-0.659075
0.650	4.129219	-7.435011	666.338803	-4.411733	40.567894	1.131652	-6.088178	-0.662086
0.660	4.157528	-7.458128	666.246690	-4.430455	40.546432	1.131680	-6.085799	-0.664987
0.670	4.168956	-7.453967	666.239924	-4.449757	40.534328	1.130751	-6.084044	-0.667891
0.680	4.162222	-7.424857	666.275947	-4.469822	40.527316	1.129578	-6.082662	-0.670866
0.690	4.141255	-7.378651	666.305138	-4.489820	40.520160	1.128801	-6.081322	-0.673838
0.700	4.113665	-7.326577	666.293237	-4.507892	40.508040	1.128938	-6.079611	-0.676563
0.710	4.087987	-7.279847	666.234699	-4.521696	40.487618	1.130316	-6.077080	-0.678694
0.720	4.070928	-7.246536	666.151913	-4.529124	40.457446	1.132963	-6.073306	-0.679894
0.730	4.065645	-7.229976	666.082204	-4.528760	40.417809	1.136539	-6.067991	-0.679910
0.740	4.071477	-7.229066	666.059943	-4.520038	40.370308	1.140414	-6.061062	-0.678623
0.750	4.084944	-7.239974	666.102416	-4.503385	40.317394	1.143909	-6.052732	-0.676080
0.760	4.101358	-7.258298	666.204878	-4.480426	40.261790	1.146612	-6.043455	-0.672530
0.770	4.116340	-7.280688	666.344926	-4.453953	40.205757	1.148610	-6.033775	-0.668415
0.780	4.126836	-7.305363	666.492348	-4.427338	40.150422	1.150517	-6.024138	-0.664274
0.790	4.131720	-7.331460	666.619580	-4.403473	40.095631	1.153227	-6.014769	-0.660568
0.800	4.131990	-7.357764	666.708961	-4.383840	40.040491	1.157502	-6.005693	-0.657534
0.810	4.130228	-7.381821	666.755071	-4.368279	39.984280	1.163565	-5.996847	-0.655155
0.820	4.129156	-7.400101	666.762606	-4.355485	39.927078	1.170907	-5.988200	-0.653229
0.830	4.129938	-7.409179	666.741808	-4.343735	39.869707	1.178400	-5.979782	-0.651487
0.840	4.131501	-7.407322	666.704074	-4.331349	39.813129	1.184635	-5.971634	-0.649666
0.850	4.131709	-7.395655	666.659769	-4.316897	39.757864	1.188345	-5.963741	-0.647541
0.860	4.129795	-7.378261	666.618163	-4.299475	39.703897	1.188793	-5.956018	-0.644968
0.870	4.128176	-7.360995	666.587242	-4.279230	39.651054	1.186038	-5.948367	-0.641961
0.880	4.131893	-7.349388	666.571409	-4.257784	39.599389	1.180996	-5.940757	-0.638759
0.890	4.145624	-7.346524	666.567919	-4.238040	39.549247	1.175188	-5.933266	-0.635800
0.900	4.170220	-7.351931	666.565393	-4.223168	39.501114	1.170282	-5.926067	-0.633571
0.910	4.201193	-7.362122	666.547480	-4.215227	39.455591	1.167622	-5.919397	-0.632397
0.920	4.230116	-7.372559	666.501490	-4.214105	39.413673	1.167959	-5.913516	-0.632272
0.930	4.247874	-7.379957	666.427704	-4.217372	39.377049	1.171407	-5.908675	-0.632833
0.940	4.247822	-7.383523	666.343010	-4.221132	39.348083	1.177554	-5.905079	-0.633477
0.950	4.227489	-7.384528	666.275130	-4.221485	39.329296	1.185619	-5.902861	-0.633595
