tiempo,COPX,COPY,TargetX,TargetY,ErrX,ErrY,ErrRadial
0,-3.911,-20.242,0.668,0,4.579,20.242,20.75351
1,-3.911,-20.242,0.681,0,4.592,20.242,20.75646
11,-4.131,-20.373,0.814,0,4.945,20.373,20.96509
22,-4.131,-20.373,0.961,0,5.092,20.373,21.00021
24,-3.984,-20.148,0.988,0,4.972,20.148,20.75201
40,-3.984,-20.148,1.201,0,5.186,20.148,20.80421
47,-3.86,-20.27,1.295,0,5.155,20.27,20.91573
60,-3.763,-20.04,1.468,0,5.231,20.04,20.71117
68,-3.763,-20.04,1.575,0,5.338,20.04,20.73839
80,-3.592,-19.811,1.735,0,5.327,19.811,20.51452
89,-3.446,-19.54,1.855,0,5.302,19.54,20.24632
100,-3.446,-19.54,2.002,0,5.448,19.54,20.28523
110,-3.496,-19.363,2.135,0,5.631,19.363,20.16476
120,-3.496,-19.363,2.269,0,5.764,19.363,20.2024
129,-3.765,-19.309,2.389,0,6.153,19.309,20.26598
153,-3.617,-19.222,2.709,0,6.325,19.222,20.23631
161,-3.617,-19.222,2.815,0,6.432,19.222,20.26988
172,-4.18,-18.747,2.962,0,7.142,18.747,20.06093
180,-4.18,-18.747,3.068,0,7.249,18.747,20.09911
193,-4.791,-18.627,3.241,0,8.033,18.627,20.2851
199,-4.646,-18.434,3.321,0,7.967,18.434,20.08209
213,-4.646,-18.434,3.508,0,8.153,18.434,20.15673
222,-5.674,-18.514,3.627,0,9.301,18.514,20.71884
233,-5.674,-18.514,3.774,0,9.447,18.514,20.78493
242,-5.645,-18.597,3.893,0,9.538,18.597,20.90001
253,-6.037,-18.903,4.039,0,10.076,18.903,21.42086
262,-6.037,-18.903,4.159,0,10.196,18.903,21.47738
274,-6.494,-19.129,4.319,0,10.812,19.129,21.97339
281,-6.494,-19.129,4.411,0,10.905,19.129,22.01929
293,-6.836,-19.335,4.571,0,11.407,19.335,22.44952
301,-7.616,-19.744,4.677,0,12.293,19.744,23.25764
314,-7.616,-19.744,4.849,0,12.465,19.744,23.34927
322,-8.195,-19.963,4.956,0,13.151,19.963,23.90548
334,-8.434,-20.32,5.115,0,13.549,20.32,24.42238
343,-8.434,-20.32,5.234,0,13.668,20.32,24.48874
354,-9.467,-20.715,5.38,0,14.846,20.715,25.48555
363,-9.467,-20.715,5.499,0,14.966,20.715,25.55516
374,-10.053,-20.996,5.644,0,15.697,20.996,26.21514
381,-11.032,-21.394,5.737,0,16.769,21.394,27.18317
394,-11.032,-21.394,5.909,0,16.941,21.394,27.28958
402,-11.938,-21.7,6.015,0,17.953,21.7,28.16387
414,-13.283,-22.195,6.173,0,19.456,22.195,29.51563
423,-13.283,-22.195,6.292,0,19.575,22.195,29.59412
434,-14.105,-22.861,6.437,0,20.543,22.861,30.73482
443,-14.105,-22.861,6.556,0,20.661,22.861,30.81432
456,-15.199,-23.505,6.728,0,21.926,23.505,32.14378
463,-16.327,-24.104,6.82,0,23.147,24.104,33.41883
475,-16.327,-24.104,6.978,0,23.305,24.104,33.52853
482,-17.902,-25.087,7.07,0,24.972,25.087,35.39708
495,-19.066,-25.756,7.241,0,26.307,25.756,36.81607
503,-19.066,-25.756,7.346,0,26.412,25.756,36.89133
515,-20.199,-26.506,7.504,0,27.703,26.506,38.341
528,-20.647,-26.717,7.675,0,28.322,26.717,38.93562
536,-20.862,-27.071,7.78,0,28.642,27.071,39.41054
545,-21.066,-27.607,7.898,0,28.964,27.607,40.01385
558,-21.066,-27.607,8.069,0,29.135,27.607,40.13742
565,-21.293,-27.667,8.16,0,29.453,27.667,40.40984
