tiempo,COPX,COPY,TargetX,TargetY,ErrX,ErrY,ErrRadial
47.000,-16.363,-12.885,0.628,0.000,16.991,12.885,21.32431
48.000,-16.363,-12.885,0.641,0.000,17.004,12.885,21.33495
50.000,-16.526,-13.107,0.668,0.000,17.193,13.107,21.61933
58.000,-16.526,-13.107,0.774,0.000,17.300,13.107,21.70436
70.000,-16.183,-13.000,0.935,0.000,17.117,13.000,21.49412
79.000,-16.693,-12.798,1.055,0.000,17.747,12.798,21.88029
91.000,-16.693,-12.798,1.215,0.000,17.907,12.798,22.0104
99.000,-16.795,-12.533,1.322,0.000,18.117,12.533,22.02922
111.000,-16.709,-12.566,1.482,0.000,18.190,12.566,22.10888
118.000,-16.709,-12.566,1.575,0.000,18.284,12.566,22.18579
131.000,-16.683,-12.239,1.749,0.000,18.432,12.239,22.1251
139.000,-16.683,-12.239,1.855,0.000,18.539,12.239,22.21408
151.000,-16.979,-12.361,2.015,0.000,18.994,12.361,22.66247
161.000,-16.721,-12.206,2.149,0.000,18.870,12.206,22.47329
174.000,-16.721,-12.206,2.322,0.000,19.043,12.206,22.61903
182.000,-16.765,-12.087,2.429,0.000,19.194,12.087,22.68259
194.000,-16.867,-12.124,2.589,0.000,19.456,12.124,22.92428
201.000,-16.867,-12.124,2.682,0.000,19.549,12.124,23.0035
213.000,-16.803,-11.740,2.842,0.000,19.645,11.740,22.8852
221.000,-17.048,-12.038,2.948,0.000,19.996,12.038,23.34007
235.000,-17.048,-12.038,3.135,0.000,20.182,12.038,23.5
244.000,-17.432,-11.964,3.255,0.000,20.686,11.964,23.89678
255.000,-17.432,-11.964,3.401,0.000,20.833,11.964,24.02364
264.000,-16.832,-12.125,3.521,0.000,20.353,12.125,23.6911
276.000,-16.899,-11.633,3.680,0.000,20.580,11.633,23.64036
277.000,-16.899,-11.633,3.694,0.000,20.593,11.633,23.65194
293.000,-16.819,-11.464,3.907,0.000,20.726,11.464,23.68503
300.000,-16.819,-11.464,4.000,0.000,20.819,11.464,23.7665
313.000,-16.743,-11.339,4.172,0.000,20.916,11.339,23.79148
323.000,-17.002,-11.408,4.305,0.000,21.308,11.408,24.16918
335.000,-17.002,-11.408,4.465,0.000,21.467,11.408,24.30979
343.000,-16.417,-11.339,4.571,0.000,20.988,11.339,23.85504
355.000,-16.517,-11.370,4.730,0.000,21.247,11.370,24.0983
364.000,-16.517,-11.370,4.849,0.000,21.367,11.370,24.20364
387.000,-16.405,-11.231,5.154,0.000,21.560,11.231,24.30974
395.000,-16.280,-11.451,5.260,0.000,21.541,11.451,24.39521
406.000,-15.638,-11.383,5.406,0.000,21.044,11.383,23.92561
415.000,-15.638,-11.383,5.525,0.000,21.163,11.383,24.03049
426.000,-16.275,-11.478,5.671,0.000,21.945,11.478,24.76563
433.000,-15.901,-11.196,5.764,0.000,21.665,11.196,24.38666
447.000,-15.901,-11.196,5.949,0.000,21.850,11.196,24.55129
455.000,-16.171,-11.147,6.054,0.000,22.226,11.147,24.86425
470.000,-15.972,-11.426,6.253,0.000,22.224,11.426,24.98953
479.000,-15.972,-11.426,6.371,0.000,22.343,11.426,25.09527
486.000,-16.781,-11.271,6.464,0.000,23.245,11.271,25.83287
498.000,-17.048,-11.365,6.622,0.000,23.670,11.365,26.25705
506.000,-17.048,-11.365,6.728,0.000,23.776,11.365,26.35219
520.000,-17.633,-11.474,6.912,0.000,24.545,11.474,27.0945
529.000,-17.633,-11.474,7.031,0.000,24.664,11.474,27.20193
540.000,-18.023,-11.241,7.175,0.000,25.198,11.241,27.59218
549.000,-18.897,-11.436,7.294,0.000,26.191,11.436,28.57876
560.000,-18.897,-11.436,7.438,0.000,26.336,11.436,28.71139
