tiempo,COPX,COPY,TargetX,TargetY,ErrX,ErrY,ErrRadial
0.000,87.216,2.133,0.000,50.000,-87.216,47.867,99.48846
0.002,87.232,2.194,-0.063,50.000,-87.294,47.806,99.52747
0.004,87.260,2.246,-0.126,50.000,-87.385,47.754,99.58253
0.006,87.297,2.325,-0.188,50.000,-87.486,47.675,99.63274
0.008,87.368,2.414,-0.251,49.999,-87.619,47.585,99.70695
0.010,87.395,2.505,-0.314,49.999,-87.709,47.494,99.74265
0.012,87.447,2.591,-0.377,49.999,-87.824,47.408,99.8023
0.014,87.498,2.663,-0.440,49.998,-87.938,47.336,99.86845
0.016,87.517,2.699,-0.503,49.997,-88.019,47.299,99.92268
0.018,87.590,2.808,-0.565,49.997,-88.156,47.189,99.99114
0.020,87.646,2.863,-0.628,49.996,-88.274,47.133,100.0687
0.022,87.664,2.935,-0.691,49.995,-88.355,47.060,100.106
0.024,87.733,2.974,-0.754,49.994,-88.487,47.020,100.2036
0.026,87.733,3.012,-0.817,49.993,-88.550,46.981,100.2413
0.028,87.784,3.047,-0.880,49.992,-88.663,46.945,100.3245
0.030,87.833,3.098,-0.942,49.991,-88.776,46.893,100.3995
0.032,87.862,3.110,-1.005,49.990,-88.867,46.880,100.4742
0.034,87.894,3.148,-1.068,49.989,-88.962,46.841,100.5403
0.036,87.950,3.181,-1.131,49.987,-89.081,46.806,100.629
0.038,87.960,3.228,-1.194,49.986,-89.154,46.758,100.671
0.040,88.005,3.258,-1.257,49.984,-89.262,46.726,100.752
0.042,88.033,3.237,-1.319,49.983,-89.353,46.746,100.8417
0.044,88.083,3.266,-1.382,49.981,-89.465,46.715,100.9269
0.046,88.129,3.296,-1.445,49.979,-89.574,46.683,101.0092
0.048,88.156,3.312,-1.508,49.977,-89.664,46.666,101.0809
0.050,88.141,3.318,-1.571,49.975,-89.712,46.657,101.1193
0.052,88.169,3.308,-1.633,49.973,-89.802,46.665,101.203
0.054,88.214,3.307,-1.696,49.971,-89.911,46.664,101.2989
0.056,88.297,3.293,-1.759,49.969,-90.056,46.676,101.4333
0.058,88.259,3.296,-1.822,49.967,-90.081,46.670,101.4527
0.060,88.355,3.297,-1.885,49.964,-90.240,46.668,101.5929
0.062,88.384,3.304,-1.947,49.962,-90.331,46.658,101.6694
0.064,88.415,3.298,-2.010,49.960,-90.426,46.661,101.7549
0.066,88.424,3.302,-2.073,49.957,-90.497,46.655,101.8152
0.068,88.474,3.328,-2.136,49.954,-90.610,46.626,101.9028
0.070,88.484,3.318,-2.198,49.952,-90.682,46.634,101.9705
0.072,88.567,3.331,-2.261,49.949,-90.828,46.618,102.0926
0.074,88.580,3.318,-2.324,49.946,-90.904,46.628,102.1653
0.076,88.612,3.335,-2.387,49.943,-90.999,46.608,102.2403
0.078,88.676,3.340,-2.449,49.940,-91.125,46.600,102.3493
0.080,88.708,3.349,-2.512,49.937,-91.220,46.588,102.4284
0.082,88.740,3.361,-2.575,49.934,-91.315,46.573,102.5061
0.084,88.819,3.366,-2.638,49.930,-91.456,46.564,102.6279
0.086,88.823,3.376,-2.700,49.927,-91.523,46.551,102.6817
0.088,88.901,3.368,-2.763,49.924,-91.664,46.556,102.8094
0.090,88.925,3.370,-2.826,49.920,-91.751,46.550,102.884
0.092,88.962,3.384,-2.889,49.916,-91.850,46.533,102.9649
0.094,89.017,3.351,-2.951,49.913,-91.969,46.562,103.0835
0.096,89.040,3.327,-3.014,49.909,-92.055,46.582,103.1693
0.098,89.063,3.303,-3.077,49.905,-92.140,46.602,103.2544
0.100,89.049,3.302,-3.140,49.901,-92.188,46.599,103.2965
0.102,89.099,3.266,-3.202,49.897,-92.301,46.631,103.4115
0.104,89.127,3.243,-3.265,49.893,-92.392,46.651,103.5018
0.106,89.173,3.202,-3.328,49.889,-92.501,46.687,103.615
0.108,89.177,3.169,-3.390,49.885,-92.568,46.716,103.6879
0.110,89.218,3.159,-3.453,49.881,-92.671,46.722,103.7829
0.112,89.230,3.140,-3.516,49.876,-92.746,46.736,103.8562
0.114,89.281,3.086,-3.578,49.872,-92.859,46.786,103.9795
0.116,89.285,3.058,-3.641,49.867,-92.926,46.809,104.0495
0.118,89.279,3.018,-3.704,49.863,-92.983,46.845,104.1166
0.120,89.325,2.969,-3.766,49.858,-93.091,46.889,104.2331
0.122,89.339,2.897,-3.829,49.853,-93.168,46.956,104.3317
0.124,89.362,2.852,-3.892,49.848,-93.254,46.996,104.4264
0.126,89.399,2.812,-3.954,49.843,-93.354,47.032,104.5318
0.128,89.380,2.753,-4.017,49.838,-93.397,47.086,104.595
0.130,89.436,2.691,-4.080,49.833,-93.515,47.142,104.7257
0.132,89.458,2.654,-4.142,49.828,-93.600,47.174,104.816
0.134,89.481,2.593,-4.205,49.823,-93.686,47.230,104.9178
0.136,89.510,2.530,-4.267,49.818,-93.777,47.287,105.0247
0.138,89.546,2.484,-4.330,49.812,-93.876,47.328,105.132
0.140,89.565,2.411,-4.393,49.807,-93.958,47.395,105.2351
0.142,89.606,2.360,-4.455,49.801,-94.061,47.441,105.3474
0.144,89.616,2.304,-4.518,49.795,-94.134,47.491,105.4349
0.146,89.652,2.231,-4.580,49.790,-94.232,47.558,105.5535
0.148,89.648,2.157,-4.643,49.784,-94.291,47.627,105.6366
0.150,89.699,2.088,-4.705,49.778,-94.404,47.690,105.7662
0.152,89.667,2.037,-4.768,49.772,-94.435,47.735,105.8145
0.154,89.659,1.945,-4.831,49.766,-94.489,47.821,105.9011
0.156,89.710,1.876,-4.893,49.760,-94.603,47.884,106.0317
0.158,89.744,1.822,-4.956,49.754,-94.699,47.932,106.1388
0.160,89.726,1.747,-5.018,49.748,-94.744,48.001,106.2102
0.162,89.736,1.680,-5.081,49.741,-94.817,48.061,106.302
0.164,89.742,1.625,-5.143,49.735,-94.885,48.110,106.3849
0.166,89.776,1.589,-5.206,49.728,-94.981,48.139,106.4837
0.168,89.822,1.521,-5.268,49.722,-95.090,48.201,106.6087
0.170,89.846,1.470,-5.331,49.715,-95.177,48.245,106.7065
0.172,89.884,1.424,-5.393,49.708,-95.277,48.284,106.8127
0.174,89.888,1.369,-5.455,49.701,-95.343,48.333,106.8944
0.176,89.912,1.292,-5.518,49.695,-95.430,48.402,107.003
0.178,89.921,1.214,-5.580,49.688,-95.501,48.473,107.0986
0.180,89.948,1.160,-5.643,49.681,-95.591,48.521,107.2005
0.182,89.995,1.092,-5.705,49.673,-95.700,48.581,107.325
0.184,89.962,1.025,-5.768,49.666,-95.730,48.641,107.3788
0.186,90.009,0.949,-5.830,49.659,-95.839,48.710,107.5068
