BioWare Version 5.2.1.3 Export
Device:	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	7999	7999	7999
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	7.999000	7.999000	7.999000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	599.911072	599.911072	599.911072
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 22, 2013  13:43:36
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
2.380000	-11.861010	-2.318138	600.407776
2.381000	-12.021083	-1.919567	599.294403
2.382000	-12.500715	-2.279039	600.240753
2.383000	-13.100330	-2.000062	597.861649
2.384000	-13.260403	-2.040540	599.603485
2.385000	-13.420476	-1.801581	599.599594
2.386000	-13.780127	-1.282956	601.182800
2.387000	-14.059889	-1.443487	599.911713
2.388000	-14.579613	-1.403699	599.431900
2.389000	-14.579320	-1.125181	601.330887
2.390000	-15.339593	-0.805957	601.645721
2.391000	-16.017926	-0.806416	598.153580
2.392000	-16.178292	-0.886681	600.210907
2.393000	-16.497852	-0.288710	600.843582
2.394000	-17.057961	-0.448781	600.362610
2.395000	-17.697080	-0.130015	599.409409
2.396000	-17.776971	-0.010651	600.357086
2.397000	-18.256604	0.268326	601.462936
2.398000	-18.856510	0.467267	599.873962
2.399000	-19.375941	0.467038	600.661545
2.400000	-19.655703	0.865609	600.976791
2.401000	-19.895958	0.985203	602.082321
2.402000	-20.415684	1.543157	602.235931
2.403000	-21.095187	1.463121	600.647774
2.404000	-21.654711	1.622503	600.485039
2.405000	-21.734894	2.021075	602.541794
2.406000	-22.014948	2.459663	603.013680
2.407000	-22.614270	2.539240	602.535263
2.408000	-23.014012	2.698623	601.105812
2.409000	-23.613920	2.618587	601.102676
2.410000	-23.733608	2.977139	600.941505
2.411000	-23.973863	3.136522	601.413162
2.412000	-24.173442	3.375940	602.359772
2.413000	-24.213534	3.615129	602.516243
2.414000	-24.613276	3.574882	601.246391
2.415000	-24.693167	3.574423	601.085800
2.416000	-24.812855	3.813841	601.241356
2.417000	-24.613276	4.053029	603.457466
2.418000	-25.052525	3.733576	599.175209
2.419000	-25.012434	3.932976	600.125351
2.420000	-24.772470	4.251970	601.867180
2.421000	-25.052232	4.131917	599.643547
2.422000	-25.131830	4.012094	600.434090
2.423000	-25.091445	4.091671	597.897697
2.424000	-24.971172	4.330859	600.114967
2.425000	-24.931079	4.410665	599.635826
2.426000	-25.250640	4.170788	596.941208
2.427000	-25.050475	4.330400	598.680748
2.428000	-24.890403	4.609607	598.363907
2.429000	-24.930493	4.609376	597.252594
2.430000	-25.010091	4.449535	596.616310
2.431000	-25.169871	4.449305	594.394913
2.432000	-24.850019	4.688952	596.773369
2.433000	-24.570257	4.967930	595.821838
2.434000	-24.450277	5.007948	596.927795
2.435000	-24.730037	4.808547	593.598053
2.436000	-24.569964	4.768529	592.486725
2.437000	-24.370094	4.927682	593.280655
2.438000	-24.090332	5.047506	592.489540
2.439000	-23.930843	5.246906	591.217979
2.440000	-23.411412	5.566359	594.387344
2.441000	-23.451211	5.406288	591.058197
2.442000	-23.411120	5.286694	589.948959
2.443000	-23.131066	5.526113	590.423317
2.444000	-23.011671	5.565900	588.519325
2.445000	-23.131066	5.366270	587.884689
2.446000	-22.891103	5.645476	587.248817
2.447000	-22.651140	5.765071	588.832695
2.448000	-22.810920	5.605230	585.821091
2.449000	-22.850427	5.645018	585.661896
2.450000	-22.450683	6.083836	588.355347
2.451000	-22.850427	5.764842	585.182510
2.452000	-23.129895	5.564753	583.438354
2.453000	-23.089510	5.644558	583.596657
2.454000	-23.049420	5.923995	584.227249
2.455000	-23.488960	5.604540	582.481873
2.456000	-23.928208	5.444928	579.150734
2.457000	-23.968301	5.564523	581.208817
2.458000	-23.968301	5.684116	580.733124
2.459000	-24.327660	5.484717	578.513130
2.460000	-24.887182	5.364893	576.924973
2.461000	-24.967073	5.364893	575.974854
2.462000	-25.087055	5.564523	576.287872
2.463000	-25.007457	5.723906	576.921127
2.464000	-25.207620	6.003572	576.444031
2.465000	-25.727051	5.803942	573.904587
2.466000	-25.847327	5.843960	572.002815
2.467000	-26.007399	6.043590	571.366295
2.468000	-25.568151	6.562444	574.218285
2.469000	-26.087874	6.602690	570.412048
2.470000	-26.327837	6.522884	569.934456
2.471000	-26.128259	7.001949	569.141541
2.472000	-26.408020	7.001949	568.504929
2.473000	-26.727581	6.922145	566.125908
2.474000	-26.368222	7.440999	568.343674
2.475000	-26.528002	7.440999	567.231209
2.476000	-27.047142	7.201579	563.426117
2.477000	-26.887361	7.520803	564.374779
2.478000	-27.007049	7.520803	565.006775
2.479000	-27.486096	7.281386	560.884941
2.480000	-27.685675	7.281386	562.307487
2.481000	-27.605492	7.600380	561.829483
2.482000	-27.885254	7.680187	562.778313
2.483000	-28.244613	7.480786	560.557823
2.484000	-29.203292	7.600152	558.494644
2.485000	-28.644356	7.281386	560.234497
2.486000	-29.562360	8.198811	559.599121
2.487000	-30.003071	7.440999	555.951256
2.488000	-30.282248	7.601069	555.790817
2.489000	-30.882154	7.800469	555.469711
2.490000	-30.762172	7.401210	556.100639
2.491000	-31.481768	7.880277	556.098236
2.492000	-31.881512	7.401440	552.608498
2.493000	-32.520926	7.561280	552.924576
2.494000	-33.000558	7.441458	550.384720
2.495000	-32.841071	7.800928	554.660309
2.496000	-33.640263	7.721124	551.329163
2.497000	-34.040300	7.521722	550.059814
2.498000	-34.200373	7.960999	551.642960
2.499000	-34.680005	7.920981	550.531960
2.500000	-35.279912	7.881194	548.943794
2.501000	-35.120425	8.280455	550.844505
2.502000	-35.320590	8.360259	550.050682
2.503000	-36.119783	8.240665	548.619919
2.504000	-36.519525	8.161089	546.242363
2.505000	-36.519818	8.640156	548.933601
2.506000	-36.760365	8.680173	547.347679
2.507000	-37.599358	8.480543	544.650848
2.508000	-37.600237	8.840014	546.076180
2.509000	-37.760601	9.159469	546.708015
2.510000	-38.280033	9.239274	544.327667
2.511000	-38.919740	8.960298	542.266808
2.512000	-39.319483	9.080351	541.633408
2.513000	-39.479847	9.519399	543.056854
2.514000	-39.760487	9.759047	542.579994
2.515000	-40.639571	9.320228	538.932549
2.516000	-41.199093	9.400263	538.457344
2.517000	-41.719110	9.520317	536.236534
2.518000	-41.919567	9.959366	539.087059
2.519000	-42.639163	9.879789	534.809219
2.520000	-43.318668	9.880248	533.536072
2.521000	-43.998466	9.800672	531.632332
2.522000	-44.478391	9.880708	530.681038
2.523000	-44.838627	10.439579	531.472481
2.524000	-45.717711	10.041007	526.875298
2.525000	-46.437597	10.201078	524.813927
2.526000	-46.437891	10.520761	526.558640
2.527000	-47.317269	10.441185	521.486084
2.528000	-48.036278	10.401627	519.581680
2.529000	-48.037156	10.761327	518.949844
2.530000	-48.556881	10.961416	517.522369
2.531000	-49.116405	10.562615	513.085129
2.532000	-49.037097	10.962335	512.768394
2.533000	-49.037392	11.321807	513.083473
2.534000	-49.596915	11.043060	506.585747
2.535000	-49.917354	11.083766	503.416702
2.536000	-49.438014	11.483256	504.842934
2.537000	-49.398216	11.803167	502.464233
2.538000	-49.757575	11.404597	497.709190
2.539000	-49.957446	11.285462	493.909348
2.540000	-49.917647	11.445533	491.847336
2.541000	-49.438305	11.685869	492.322701
2.542000	-49.398506	11.885729	488.680176
2.543000	-49.438014	11.806612	486.935455
2.544000	-49.917354	11.488075	480.120338
2.545000	-49.916769	11.448976	477.903160
2.546000	-49.637008	11.649065	477.270348
2.547000	-49.756109	11.729559	474.418770
2.548000	-49.795908	11.570637	470.773788
2.549000	-50.034994	11.371925	465.862228
2.550000	-50.034699	11.491979	463.166573
2.551000	-49.594572	11.652509	462.851067
2.552000	-50.152925	11.333744	456.194954
2.553000	-50.351917	11.015438	452.709183
2.554000	-49.951881	11.415157	450.495193
2.555000	-50.230766	11.016816	445.899078
2.556000	-50.269687	11.057063	442.572151
2.557000	-50.109027	11.017963	439.406403
2.558000	-49.668899	11.218282	437.030762
2.559000	-49.627639	11.178953	433.704178
2.560000	-49.466979	11.059818	429.269135
2.561000	-49.346117	10.940682	425.942772
2.562000	-48.785716	11.180789	424.360397
2.563000	-48.344714	11.261055	422.144547
2.564000	-48.223558	11.022326	417.076279
2.565000	-48.221804	10.703331	411.849716
2.566000	-47.780798	10.623984	410.742943
2.567000	-47.140213	10.784055	407.420128
2.568000	-46.658823	10.584885	406.151367
2.569000	-45.978441	10.665150	402.353607
2.570000	-46.016189	9.986913	397.600922
2.571000	-45.934836	9.748184	393.008591
2.572000	-45.533043	9.389171	390.158516
2.573000	-45.092037	9.030388	386.199162
2.574000	-44.371272	8.991059	385.726707
2.575000	-43.970357	8.672065	381.612938
2.576000	-43.808821	8.273264	378.602741
2.577000	-43.447704	7.834905	373.693424
2.578000	-43.046497	7.515910	373.221786
2.579000	-42.805656	6.997745	368.312141
2.580000	-42.364651	6.558926	366.098167
2.581000	-41.964029	6.120337	363.723766
2.582000	-41.483225	5.841590	361.508404
2.583000	-41.042805	5.362984	358.817585
2.584000	-40.601801	4.765242	355.491966
2.585000	-39.842113	4.645648	354.229614
2.586000	-38.842757	4.526513	353.756493
2.587000	-38.282355	4.047906	348.690022
2.588000	-37.562759	3.929000	346.475815
2.589000	-36.603494	3.729600	346.797417
2.590000	-35.604136	3.770306	344.899693
2.591000	-34.764558	3.570906	343.954903
2.592000	-34.164652	3.292159	339.363731
2.593000	-33.484855	2.973393	337.307953
2.594000	-32.405899	3.053429	336.362030
2.595000	-31.246469	3.253289	336.368526
2.596000	-30.207021	3.293536	336.531277
2.597000	-29.327644	3.293536	334.001389
2.598000	-29.047005	2.774911	329.567749
2.599000	-28.326531	2.655317	328.623459
2.600000	-27.646734	2.615529	326.252853
2.601000	-26.806571	2.456146	326.573471
2.602000	-25.726739	2.735353	326.102547
2.603000	-25.046649	2.535953	324.998329
2.604000	-24.766301	2.057116	321.358521
2.605000	-23.807036	2.176711	321.045406
2.606000	-23.166744	2.017098	320.415638
2.607000	-22.726911	1.738122	316.935017
2.608000	-22.127295	1.578510	314.879574
2.609000	-21.128232	1.817928	317.261326
2.610000	-20.528324	1.498933	314.412785
2.611000	-20.248563	1.339322	311.406307
2.612000	-19.649534	1.140151	309.827614
2.613000	-18.850049	1.180398	308.720013
2.614000	-18.130745	1.300452	309.358845
2.615000	-17.891368	0.941439	304.451416
2.616000	-17.412028	0.782286	303.188240
2.617000	-16.852797	0.742728	302.082935
2.618000	-16.213970	0.942817	300.979534
2.619000	-15.734630	0.903028	299.873081
2.620000	-15.535637	0.584263	295.599293
2.621000	-15.455747	0.345075	292.751755
2.622000	-15.056589	0.265957	291.486843
2.623000	-14.657433	0.345993	289.116726
2.624000	-14.098788	0.506294	289.911213
2.625000	-13.819612	0.586100	287.223934
2.626000	-13.700509	0.347370	284.691235
2.627000	-13.421040	0.347600	282.318054
2.628000	-13.661295	0.108871	277.566441
2.629000	-13.502101	-0.050282	276.461792
2.630000	-13.342906	0.269171	275.040245
2.631000	-13.303401	0.070230	272.824543
2.632000	-13.423968	-0.248764	270.134457
2.633000	-13.144499	0.150496	269.823895
2.634000	-13.065488	0.031361	268.875813
2.635000	-13.585212	-0.207828	263.649315
2.636000	-13.665688	-0.287175	262.067852
2.637000	-13.426603	-0.087086	263.024242
2.638000	-13.746749	-0.286487	258.906860
2.639000	-13.826932	-0.445640	259.068260
2.640000	-14.027095	-0.804422	255.110325
2.641000	-14.067480	-0.564775	256.698967
2.642000	-14.027681	-0.604333	256.227234
2.643000	-14.147956	-0.763716	255.437923
2.644000	-14.667387	-1.282570	251.953606
2.645000	-14.627295	-1.481741	251.640900
2.646000	-14.707479	-1.481511	251.010536
2.647000	-14.227846	-1.720929	253.866158
2.648000	-14.587497	-1.960347	249.590309
2.649000	-14.507314	-2.558778	250.859829
2.650000	-14.627295	-2.838214	247.536018
2.651000	-14.547112	-3.277262	248.648323
2.652000	-14.227846	-3.556468	249.126301
2.653000	-13.748213	-3.795886	250.397720
2.654000	-13.468451	-4.234704	251.351070
2.655000	-13.348470	-4.713541	248.974094
2.656000	-13.308378	-5.311972	247.235641
2.657000	-12.629460	-5.311972	251.993286
2.658000	-12.109735	-5.152359	251.522106
2.659000	-11.870358	-5.910172	251.207008
2.660000	-11.351219	-5.949961	251.369247
2.661000	-10.871880	-6.069784	251.688789
2.662000	-10.392246	-6.628427	252.169250
2.663000	-10.112778	-6.708233	250.745564
2.664000	-9.153805	-6.668216	255.660896
2.665000	-8.993732	-6.947421	252.494797
2.666000	-8.793860	-7.146822	252.817226
2.667000	-8.314520	-7.106804	253.770573
2.668000	-7.794796	-6.827597	255.515854
2.669000	-7.754705	-7.306663	254.727295
2.670000	-7.793918	-7.585869	253.461727
2.671000	-7.594339	-7.745711	253.783829
2.672000	-7.074322	-7.865534	256.480331
2.673000	-7.194010	-8.025147	255.057281
2.674000	-7.232638	-8.344600	255.375263
2.675000	-7.671301	-8.663825	253.003418
2.676000	-7.391247	-8.664284	255.065201
2.677000	-7.430460	-8.704301	256.335285
2.678000	-7.669251	-8.704301	255.071941
2.679000	-8.147128	-9.423015	253.172482
2.680000	-8.505315	-9.383227	253.174545
2.681000	-9.023868	-9.742469	251.750450
2.682000	-9.062789	-9.383457	255.081589
2.683000	-9.301873	-9.184057	255.243488
2.684000	-10.019712	-9.623333	252.867947
