BioWare Version 5.2.1.3 Export
Device:	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	7999	7999	7999
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	7.999000	7.999000	7.999000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	599.911072	599.911072	599.911072
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 22, 2013  13:45:57
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	-0.511197	-0.877233	600.917068
0.001000	-0.551288	-0.757868	600.283524
0.002000	-0.591380	-0.957039	600.442627
0.003000	-0.871141	-1.116881	598.222809
0.004000	-0.951031	-1.236475	599.014252
0.005000	-0.831050	-0.917251	599.015732
0.006000	-0.631471	-0.877233	600.599091
0.007000	-0.791251	-0.917251	600.283188
0.008000	-0.671855	-0.837675	600.440567
0.009000	-1.031214	-1.276493	598.221970
0.010000	-1.031214	-1.196917	598.538559
0.011000	-1.071305	-1.196917	598.856293
0.012000	-0.831928	-0.957269	600.914688
0.013000	-0.951324	-1.156898	599.806259
0.014000	-1.151488	-1.236705	599.013504
0.015000	-0.752038	-1.037304	601.390106
0.016000	-1.191579	-1.236934	598.694931
0.017000	-1.231378	-1.316511	598.852814
0.018000	-1.111982	-1.157128	599.172028
0.019000	-1.111690	-1.197146	600.439148
0.020000	-1.071891	-1.077322	599.487946
0.021000	-1.391744	-1.436564	598.218109
0.022000	-1.271762	-1.236705	599.010529
0.023000	-0.952495	-0.877692	601.230652
0.024000	-1.231671	-1.236934	599.646149
0.025000	-1.511725	-1.396776	597.585022
0.026000	-1.471926	-1.356988	597.585022
0.027000	-1.271762	-1.276952	599.961746
0.028000	-1.272055	-1.117340	599.487625
0.029000	-1.032385	-0.997746	601.546249
0.030000	-1.351945	-1.237164	598.691635
0.031000	-1.512018	-1.397006	597.743225
0.032000	-1.551817	-1.436794	598.217255
0.033000	-1.432128	-1.237164	598.850845
0.034000	-1.432128	-1.237164	599.958344
0.035000	-1.272348	-1.157358	599.483078
0.036000	-1.552109	-1.237164	599.167984
0.037000	-1.672091	-1.476811	597.266388
0.038000	-1.592201	-1.356988	598.849182
0.039000	-1.352531	-1.277411	600.116623
0.040000	-1.552109	-1.317429	598.849670
0.041000	-1.752274	-1.397235	597.582214
0.042000	-1.472512	-1.197376	600.593719
0.043000	-1.592494	-1.117799	599.006470
0.044000	-1.831871	-1.516829	598.847610
0.045000	-1.672091	-1.357447	598.214050
0.046000	-1.552402	-1.197835	599.798660
0.047000	-1.672091	-1.317429	598.371109
0.048000	-1.912054	-1.437253	597.419556
0.049000	-1.951852	-1.477271	598.688171
0.050000	-1.672091	-1.197835	599.322968
0.051000	-1.712475	-1.237853	598.529968
0.052000	-1.871962	-1.397235	598.846466
0.053000	-2.071834	-1.517289	596.152588
0.054000	-1.871962	-1.277870	600.113495
0.055000	-1.752566	-1.158276	599.004913
0.056000	-1.792365	-1.118488	598.528488
0.057000	-1.912054	-1.198064	599.638489
0.058000	-2.071834	-1.238082	597.733917
0.059000	-1.752566	-1.118258	601.064133
0.060000	-1.672677	-0.958646	600.272034
0.061000	-1.552695	-0.799263	601.854019
0.062000	-1.752566	-0.918858	600.746155
0.063000	-2.111925	-1.238312	598.841522
0.064000	-2.032035	-1.158505	599.316864
0.065000	-1.752566	-0.919317	600.746155
0.066000	-2.072127	-1.198524	598.367401
0.067000	-2.072127	-1.198524	600.109879
0.068000	-1.712768	-0.759475	601.378311
0.069000	-1.832456	-0.998894	601.853363
0.070000	-2.072127	-1.198524	598.366577
0.071000	-1.872548	-0.959335	601.535706
0.072000	-1.992237	-1.078700	600.584167
0.073000	-2.192108	-1.278329	598.998886
0.074000	-1.992237	-1.078700	600.106415
0.075000	-1.792658	-0.879529	601.852432
0.076000	-2.231906	-1.198753	598.840683
0.077000	-2.032035	-1.118717	600.741226
0.078000	-2.032035	-1.118947	600.108047
0.079000	-1.712475	-0.759705	603.595856
0.080000	-1.872548	-0.959564	601.059433
0.081000	-2.351888	-1.238771	598.680084
0.082000	-2.232199	-1.158965	601.214005
0.083000	-2.032328	-0.959564	601.691360
0.084000	-1.912639	-0.839970	603.593689
0.085000	-2.312089	-1.118947	599.155350
0.086000	-2.271998	-1.198983	600.103104
0.087000	-2.351888	-1.079388	600.579712
0.088000	-2.192108	-0.919776	602.324173
0.089000	-2.032328	-0.919776	602.800354
0.090000	-2.232199	-0.919776	601.531754
0.091000	-2.352180	-0.959794	600.736679
0.092000	-2.391979	-1.039600	601.531418
0.093000	-2.192401	-0.800182	602.958069
0.094000	-2.471869	-1.039600	602.163254
0.095000	-2.472455	-0.999812	600.736679
0.096000	-2.272583	-0.720605	604.222244
0.097000	-2.592143	-0.999812	601.369003
0.098000	-2.592143	-0.999812	601.369003
0.099000	-2.552345	-0.959794	602.638214
0.100000	-2.552345	-0.760623	601.845184
0.101000	-2.831814	-1.119865	600.419189
0.102000	-2.792015	-1.039830	601.686005
0.103000	-2.512254	-0.760623	602.794922
0.104000	-2.592436	-0.840199	602.795273
0.105000	-3.071777	-1.279477	600.101120
0.106000	-2.952088	-1.000041	600.416794
0.107000	-2.712418	-0.800641	602.793106
0.108000	-2.752509	-0.760853	602.002747
0.109000	-3.071777	-1.080077	601.365875
0.110000	-3.271941	-1.159653	598.992111
0.111000	-3.111868	-0.960253	601.682693
0.112000	-2.752509	-0.601011	603.743347
0.113000	-2.912289	-0.681046	603.108536
0.114000	-3.352124	-1.080077	600.414001
0.115000	-3.271648	-0.960253	600.415741
0.116000	-3.271941	-0.880677	600.890610
0.117000	-3.112160	-0.760853	602.473892
0.118000	-2.992472	-0.561452	602.792786
0.119000	-3.271941	-0.840659	601.681137
0.120000	-3.391922	-0.760853	600.414001
0.121000	-3.072362	-0.521435	603.424133
0.122000	-3.472105	-0.840889	600.096939
0.123000	-3.352124	-0.721065	601.363495
0.124000	-3.312325	-0.641258	602.315018
0.125000	-3.432014	-0.721065	601.047577
0.126000	-3.591794	-0.800870	600.730515
0.127000	-3.312325	-0.561452	602.473495
0.128000	-3.472105	-0.681276	601.681381
0.129000	-3.512197	-0.840889	600.253983
0.130000	-3.512197	-0.800870	601.366028
0.131000	-3.312618	-0.521664	603.422226
0.132000	-3.432599	-0.681276	602.471985
0.133000	-3.791958	-0.840889	599.777390
0.134000	-3.472398	-0.801100	602.629868
0.135000	-3.312618	-0.482105	602.946854
0.136000	-3.472398	-0.681506	603.421463
0.137000	-3.552288	-0.681506	602.154022
0.138000	-3.672562	-0.801100	601.995163
0.139000	-3.472691	-0.681506	603.420654
0.140000	-3.392801	-0.561682	603.896835
0.141000	-3.472691	-0.641488	603.738632
0.142000	-3.472691	-0.681506	603.896835
0.143000	-3.672855	-0.761312	602.312225
0.144000	-3.632763	-0.921154	603.895752
0.145000	-3.432892	-0.522123	604.371780
0.146000	-3.513075	-0.562141	605.004517
0.147000	-3.752745	-0.881365	602.468796
0.148000	-3.632763	-0.721524	604.211487
0.149000	-3.513368	-0.681736	604.527405
0.150000	-3.832928	-0.921154	602.625748
0.151000	-3.712946	-0.801559	603.894348
0.152000	-3.473569	-0.442317	605.955246
0.153000	-3.713239	-0.681736	604.369629
0.154000	-3.792836	-0.841347	604.052322
0.155000	-3.593258	-0.562371	605.476822
0.156000	-3.633349	-0.522353	605.003281
0.157000	-3.953202	-0.921383	603.575134
0.158000	-3.913111	-0.761771	604.050003
0.159000	-3.673147	-0.562141	606.428040
0.160000	-3.793129	-0.562371	604.368469
0.161000	-3.953202	-0.722212	604.999985
0.162000	-4.272469	-0.961401	601.673447
0.163000	-4.072891	-0.881595	603.258575
0.164000	-3.913111	-0.642406	604.525864
0.165000	-3.953202	-0.681736	604.209946
0.166000	-4.272469	-0.921613	601.831314
0.167000	-4.352359	-1.121243	601.197845
0.168000	-4.431956	-1.121243	600.247131
0.169000	-4.192579	-0.961401	603.415115
0.170000	-4.192579	-0.801789	602.306870
0.171000	-3.953202	-0.562371	604.841782
0.172000	-4.152781	-0.722212	602.462997
0.173000	-4.432542	-0.921613	600.879303
0.174000	-4.192579	-0.761771	602.780655
0.175000	-4.272469	-0.801789	602.462662
0.176000	-4.632121	-1.121243	600.720184
0.177000	-4.432542	-0.881595	600.562805
0.178000	-4.232671	-0.722212	601.987976
0.179000	-4.392743	-0.921613	601.195374
0.180000	-4.592029	-1.041207	599.769135
0.181000	-4.392743	-0.961630	601.194397
0.182000	-4.272469	-0.722212	601.831314
0.183000	-4.632121	-1.001419	598.502090
0.184000	-4.512139	-1.041207	600.561813
0.185000	-4.552231	-0.921613	600.084564
0.186000	-4.312268	-0.722442	601.987305
0.187000	-4.152781	-0.642406	601.988876
0.188000	-4.672212	-1.041666	599.292618
0.189000	-4.592029	-1.001419	599.133499
0.190000	-4.592029	-0.802248	599.608047
0.191000	-4.312268	-0.841806	601.352936
0.192000	-4.272469	-0.682194	600.400970
0.193000	-4.671920	-1.001419	598.183197
0.194000	-4.551938	-1.001419	599.290878
0.195000	-4.751517	-1.041207	597.232254
0.196000	-4.711718	-1.041207	599.448593
0.197000	-4.511554	-0.881595	599.133499
0.198000	-4.312268	-0.682424	599.767822
0.199000	-4.391865	-0.722212	600.240555
0.200000	-4.631535	-1.041207	597.863922
0.201000	-4.511554	-0.921613	599.291214
0.202000	-4.471755	-0.841806	597.705399
0.203000	-4.791315	-1.041207	596.913101
0.204000	-4.631535	-0.961401	597.547684
0.205000	-4.511554	-0.881824	598.814880
0.206000	-4.431664	-0.841806	598.656342
0.207000	-4.591151	-1.001419	596.911957
0.208000	-4.551352	-1.001419	596.595551
0.209000	-4.311682	-0.682194	600.398270
0.210000	-4.471462	-0.801789	598.339035
0.211000	-4.431371	-0.881595	598.496902
0.212000	-4.471462	-0.961401	596.593811
0.213000	-4.271591	-0.722212	599.448288
0.214000	-3.952031	-0.522583	600.082184
0.215000	-4.551060	-1.001189	596.753265
0.216000	-4.590858	-1.161031	595.959427
0.217000	-4.391279	-1.001189	596.753265
0.218000	-4.271298	-0.921613	597.228867
0.219000	-4.151317	-0.921383	598.812668
0.220000	-4.151317	-0.761771	598.021378
0.221000	-4.390986	-1.001189	597.068695
0.222000	-4.550767	-1.120783	595.009949
0.223000	-4.510968	-1.200819	595.009125
0.224000	-4.230914	-1.041207	597.386581
0.225000	-4.111225	-0.881365	597.703003
0.226000	-4.270712	-1.080995	596.910706
0.227000	-4.311097	-1.080995	595.167664
0.228000	-4.230914	-1.001189	596.593964
0.229000	-4.071134	-0.881365	597.701187
0.230000	-4.230914	-1.080766	595.643021
0.231000	-4.390694	-1.200819	595.643021
0.232000	-4.070841	-0.961171	597.069336
0.233000	-4.151024	-1.040977	595.482162
0.234000	-4.230621	-1.200819	595.800735
0.235000	-4.270712	-1.120783	595.007721
0.236000	-4.031043	-1.001189	597.858902
0.237000	-3.871262	-0.921154	596.593475
0.238000	-4.270712	-1.360201	594.848282
0.239000	-4.230621	-1.280396	594.849182
0.240000	-4.030750	-1.200360	596.590607
0.241000	-4.070841	-1.120783	596.272964
0.242000	-3.990951	-1.200360	595.641617
0.243000	-4.270420	-1.479796	593.421783
0.244000	-4.150438	-1.360201	595.483093
0.245000	-4.110640	-1.200360	594.848114
0.246000	-3.710897	-1.040748	598.175140
0.247000	-3.830585	-1.040748	596.432159
0.248000	-4.150438	-1.440008	594.369873
0.249000	-4.110640	-1.479796	595.797760
0.250000	-4.310218	-1.599620	592.943893
0.251000	-4.110347	-1.559602	595.005829
0.252000	-3.910475	-1.399990	594.689102
0.253000	-3.990658	-1.399990	594.847626
0.254000	-4.110347	-1.559602	594.052231
0.255000	-3.910475	-1.399990	595.797760
0.256000	-3.790494	-1.359972	596.745987
0.257000	-3.870384	-1.519814	594.686935
0.258000	-4.110347	-1.679196	593.260468
0.259000	-3.750402	-1.400219	596.588379
0.260000	-3.870384	-1.479796	594.843674
0.261000	-3.830292	-1.639178	595.953079
0.262000	-3.910183	-1.718985	594.209793
0.263000	-3.790201	-1.559832	595.478973
0.264000	-3.790494	-1.559602	595.001877
0.265000	-3.870384	-1.639637	595.001877
0.266000	-3.949981	-1.799250	594.842117
0.267000	-3.470934	-1.360201	597.537949
0.268000	-3.351245	-1.200819	598.329056
0.269000	-3.590915	-1.480025	597.537125
0.270000	-3.830292	-1.639637	595.000137
0.271000	-3.510440	-1.519814	598.327499
0.272000	-3.390751	-1.320413	598.168701
0.273000	-3.311154	-1.200819	598.484726
0.274000	-3.630714	-1.599849	597.058197
0.275000	-3.630714	-1.679885	595.473770
0.276000	-3.470641	-1.480025	598.802277
0.277000	-3.151374	-1.280855	598.802277
0.278000	-3.230971	-1.240837	600.070892
0.279000	-3.391044	-1.520273	598.325592
0.280000	-3.550531	-1.599849	597.692200
0.281000	-3.111282	-1.240837	600.227463
0.282000	-3.310861	-1.440237	598.483795
0.283000	-3.430842	-1.560061	598.325592
0.284000	-3.031100	-1.320872	601.334061
0.285000	-3.310861	-1.520273	598.166153
0.286000	-3.310861	-1.719903	599.591507
0.287000	-3.151374	-1.440467	598.958252
0.288000	-2.951503	-1.201278	601.333572
0.289000	-3.350660	-1.640097	598.959167
0.290000	-3.390751	-1.680115	598.162857
0.291000	-3.031100	-1.360890	600.857071
0.292000	-2.951210	-1.321102	601.333572
0.293000	-3.510440	-1.760150	597.529297
0.294000	-3.230678	-1.600538	600.381378
