BioWare Version 5.2.1.3 Export
Device:	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2982	2982	2982
Contact period end (sample #):	7999	7999	7999
Contact period start time (s):	2.982000	2.982000	2.982000
Contact period end time (s):	7.999000	7.999000	7.999000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	831.580383	831.580383	831.580383
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 21, 2013  13:53:44
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	-0.017877	0.017731	0.988188
0.001000	0.021922	0.057749	0.670540
0.002000	0.062013	0.017731	0.988188
0.003000	-0.017877	0.017731	-0.121558
0.004000	0.261884	0.137325	2.415912
0.005000	0.021922	0.137325	0.038376
0.006000	0.062013	0.217131	1.621754
0.007000	-0.017877	-0.022287	-0.280091
0.008000	0.142196	0.137096	1.464041
0.009000	0.062013	0.177113	0.353803
0.010000	-0.017877	0.017731	1.145810
0.011000	0.021922	0.017731	-0.280091
0.012000	0.221793	0.177113	2.255557
0.013000	0.261592	0.336955	1.303777
0.014000	0.021922	0.057290	0.038123
0.015000	0.021922	-0.022287	0.037228
0.016000	0.141610	0.137325	0.830221
0.017000	0.221793	0.177343	0.512919
0.018000	0.021922	-0.022287	0.354623
0.019000	-0.057968	-0.022057	-0.438624
0.020000	-0.177657	-0.141881	-1.547552
0.021000	-0.097767	-0.102093	-0.278690
0.022000	-0.217749	-0.261935	-1.704446
0.023000	-0.057968	-0.062305	0.037557
0.024000	-0.098060	-0.102093	-0.912255
0.025000	-0.057968	-0.062075	-0.280091
0.026000	-0.057968	-0.022287	-0.121887
0.027000	-0.137859	-0.102093	-0.597249
0.028000	-0.137859	-0.182129	-1.862979
0.029000	-0.177657	-0.301723	-0.913495
0.030000	-0.257840	-0.261935	-2.340071
0.031000	-0.057968	-0.022287	0.194850
0.032000	-0.057968	0.017731	-0.278361
0.033000	-0.097767	-0.062075	-0.279601
0.034000	-0.217749	-0.182129	-0.754542
0.035000	-0.017877	-0.062305	0.038047
0.036000	-0.137859	-0.062075	-1.388108
0.037000	-0.017877	-0.101863	0.671942
0.038000	-0.137566	-0.102093	-0.912255
0.039000	-0.177657	-0.221917	-0.913495
0.040000	-0.057968	-0.022287	0.195761
0.041000	0.062013	0.057749	0.513738
0.042000	-0.057968	-0.022287	-0.753722
0.043000	-0.097767	-0.102093	0.353965
0.044000	-0.257547	-0.141881	-2.021512
0.045000	-0.257547	-0.141881	-0.438134
0.046000	-0.017877	-0.022287	-0.438134
0.047000	-0.057968	-0.102093	-0.439045
0.048000	0.021922	-0.102093	-0.278690
0.049000	-0.017877	0.017731	0.354294
0.050000	-0.257840	-0.221917	-2.498604
0.051000	-0.297639	-0.301493	-1.071699
0.052000	-0.257547	-0.261935	-2.814521
0.053000	-0.257840	-0.301723	-1.862979
0.054000	-0.257547	-0.221917	-1.072028
0.055000	-0.297639	-0.261935	-1.862160
0.056000	-0.018170	0.057290	-0.437713
0.057000	-0.137859	-0.141881	-0.595518
0.058000	-0.137859	-0.102093	-1.230232
0.059000	-0.097767	-0.062075	0.037465
0.060000	-0.017877	0.097307	0.196672
0.061000	-0.217749	-0.102093	-2.023334
0.062000	-0.137859	-0.261705	-0.596666
0.063000	-0.097767	-0.141881	-1.703535
0.064000	-0.137859	-0.182129	-0.595518
0.065000	-0.057968	-0.102093	-0.120485
0.066000	-0.217749	-0.221917	-0.913166
0.067000	-0.297639	-0.301723	-1.864289
0.068000	-0.217749	-0.221917	-1.071699
0.069000	-0.257547	-0.261705	-2.498604
0.070000	-0.137566	-0.102093	0.354294
0.071000	-0.017877	-0.062305	-0.437805
0.072000	-0.097767	-0.101863	-0.754051
0.073000	-0.217749	-0.261705	-1.071699
0.074000	-0.177657	-0.221917	-1.387127
0.075000	-0.217749	-0.221917	-2.021183
0.076000	-0.137566	-0.221917	0.037228
0.077000	-0.097767	0.017272	-1.229575
0.078000	-0.137859	-0.102093	-0.436074
0.079000	0.141610	0.057749	0.513738
0.080000	-0.057968	-0.022287	0.513247
0.081000	-0.017877	-0.022287	0.353475
0.082000	-0.017877	-0.062075	0.671942
0.083000	-0.137859	-0.102093	-1.071699
0.084000	-0.018170	-0.062075	0.353965
0.085000	-0.017877	-0.062075	-0.437805
0.086000	-0.177657	-0.141881	-1.389676
0.087000	-0.097767	-0.102093	-0.438134
0.088000	-0.177657	-0.141881	-1.071699
0.089000	-0.177657	-0.221917	-1.071699
0.090000	-0.177657	-0.141881	-0.438134
0.091000	-0.217749	-0.141881	-1.546312
0.092000	-0.177657	-0.261705	-0.439045
0.093000	-0.057676	-0.062075	-0.596338
0.094000	-0.097767	-0.141881	-0.437805
0.095000	-0.057676	-0.062305	-0.596338
0.096000	-0.057676	-0.062075	0.038376
0.097000	-0.137859	-0.181669	-1.864617
0.098000	-0.177657	-0.141652	-0.754962
0.099000	-0.098060	-0.101863	-1.704192
0.100000	-0.017877	-0.022057	-0.120739
0.101000	0.022214	-0.022057	0.037228
0.102000	-0.097767	-0.062305	-0.754634
0.103000	-0.057968	-0.062075	-0.280420
0.104000	-0.057676	-0.062075	-0.596009
0.105000	-0.177657	-0.141881	-1.547552
0.106000	-0.217456	-0.221917	-1.231143
0.107000	-0.097767	-0.141881	-0.280091
0.108000	-0.257840	-0.141881	-2.181867
0.109000	0.062013	-0.062075	1.305508
0.110000	-0.137859	-0.062075	-2.021183
0.111000	-0.177657	-0.221917	-0.755782
0.112000	-0.098060	-0.102093	-0.912255
0.113000	-0.137566	-0.221917	-0.436894
0.114000	-0.137859	-0.102093	-1.230394
0.115000	-0.097474	-0.182129	0.037557
0.116000	-0.257547	-0.221917	-2.021183
0.117000	-0.137859	-0.182129	-0.121397
0.118000	-0.097767	-0.062305	-1.071699
0.119000	-0.098060	-0.102093	-0.755782
0.120000	-0.217749	-0.221917	-1.545659
0.121000	-0.097767	-0.141881	-0.437805
0.122000	-0.057968	0.017731	-0.596009
0.123000	0.301683	0.217131	3.048988
0.124000	0.261592	0.177113	0.987698
0.125000	-0.098060	-0.142340	-0.121887
0.126000	-0.097767	-0.102093	-0.597249
0.127000	-0.057968	-0.062305	-0.121397
0.128000	0.062013	0.137325	0.988188
0.129000	0.341482	0.217131	3.207520
0.130000	0.221793	0.217131	0.989919
0.131000	0.301683	0.217131	3.048076
0.132000	-0.018170	0.057290	-0.120647
0.133000	-0.057968	-0.062305	0.037886
0.134000	-0.097767	-0.062305	-0.596338
0.135000	0.141610	0.177113	1.622412
0.136000	-0.017877	0.137325	-0.438295
0.137000	-0.017877	-0.022287	0.354294
0.138000	-0.057968	-0.022287	-0.596338
0.139000	0.061427	-0.022287	0.670540
0.140000	0.021922	0.137325	0.194942
0.141000	-0.018170	-0.022287	0.036975
0.142000	-0.017877	-0.022287	0.353475
0.143000	0.261592	0.217131	1.623231
0.144000	0.062013	0.097307	0.355205
0.145000	0.021922	0.097307	0.671452
0.146000	-0.057968	-0.022287	-0.437805
0.147000	-0.057968	0.097307	-0.754634
0.148000	0.301683	0.177113	2.731339
0.149000	0.021922	0.137325	0.039616
0.150000	-0.018170	-0.022287	0.513738
0.151000	-0.018170	-0.022287	-0.278361
0.152000	0.141610	0.097307	1.941300
0.153000	0.261592	0.217131	2.257708
0.154000	0.141610	0.057290	1.621754
0.155000	0.141610	0.137325	0.671780
0.156000	-0.097767	-0.102093	0.195761
0.157000	0.021922	0.097307	-0.280091
0.158000	-0.098060	-0.102093	0.036646
0.159000	0.062013	0.137325	1.147632
0.160000	0.141610	0.176884	1.145902
0.161000	0.221793	0.217131	1.464208
0.162000	0.062013	-0.022287	1.146064
0.163000	-0.097767	-0.022287	0.197820
0.164000	0.062013	0.097307	2.097024
0.165000	0.062013	0.137325	0.671452
0.166000	0.021922	-0.022287	-0.120157
0.167000	0.021922	0.097307	0.829656
0.168000	0.062013	0.097307	0.512498
0.169000	0.021922	0.057749	-0.279272
0.170000	-0.017877	-0.141881	0.829656
0.171000	-0.137859	-0.062305	-0.912417
0.172000	0.021922	-0.022287	0.988188
0.173000	0.221793	0.177113	1.464041
0.174000	-0.057968	-0.022287	-0.121887
0.175000	-0.017877	0.057290	0.513247
0.176000	0.062013	0.017731	1.938820
0.177000	0.221793	0.217131	0.989428
0.178000	0.261884	0.217131	3.048988
0.179000	0.221793	0.137325	0.513738
0.180000	-0.017877	0.097307	0.831132
0.181000	-0.017877	0.017731	0.037228
0.182000	0.141610	0.097307	0.671688
0.183000	-0.017877	0.097307	0.038468
0.184000	0.181409	0.097307	1.939639
0.185000	0.062013	0.097307	0.354714
0.186000	0.142196	0.217131	1.463787
0.187000	-0.018170	0.097307	0.670212
0.188000	-0.017877	0.057290	-0.121558
0.189000	0.062013	0.017731	1.304268
0.190000	0.022214	0.137325	0.353803
0.191000	-0.057968	-0.062075	-0.597739
0.192000	-0.017877	-0.022287	0.355205
0.193000	0.022214	0.137325	0.354294
0.194000	-0.057968	0.017731	-0.439535
0.195000	-0.057968	0.017272	0.670212
0.196000	-0.097767	0.057290	-0.437476
0.197000	0.062013	0.057290	0.829656
0.198000	0.341482	0.376743	2.889872
0.199000	0.101519	0.137325	0.988188
0.200000	0.021922	-0.022287	0.354294
0.201000	0.221793	0.137325	1.621754
0.202000	0.181409	0.256919	1.306494
0.203000	0.062013	-0.062075	1.463712
0.204000	0.021922	0.097307	-0.119828
0.205000	0.021922	0.057290	0.354294
0.206000	0.062013	0.097307	0.512919
0.207000	0.062013	0.097307	0.671452
0.208000	-0.017877	0.097307	0.036646
0.209000	0.021922	0.097307	1.462310
0.210000	0.101519	0.137096	-0.121558
0.211000	-0.017877	-0.062305	0.670212
0.212000	-0.057676	-0.062075	-0.279272
0.213000	-0.097767	-0.062305	0.197001
0.214000	-0.017877	-0.022287	0.671452
0.215000	-0.017877	-0.022287	0.513738
0.216000	0.141610	0.177113	0.829984
0.217000	-0.057968	-0.022287	0.672271
0.218000	-0.097767	0.017731	-0.755453
0.219000	0.141610	0.177113	1.304764
0.220000	0.062013	0.137096	0.512008
0.221000	-0.057968	-0.022287	0.354623
0.222000	0.062013	0.177113	0.829165
0.223000	0.261592	0.256919	1.939639
0.224000	0.021922	0.097307	-0.120647
0.225000	-0.057676	-0.102093	0.196580
0.226000	0.021922	0.137096	0.354714
0.227000	0.062013	0.137096	1.623231
0.228000	-0.057676	-0.062305	-0.596666
0.229000	-0.097767	-0.221917	-1.544673
0.230000	-0.217749	-0.261935	-2.179716
0.231000	-0.137859	-0.102093	-0.437476
0.232000	-0.057968	-0.062305	-0.595518
0.233000	-0.217749	-0.221917	-1.388108
0.234000	-0.097767	-0.141881	-0.121887
0.235000	-0.057968	0.057290	0.196090
0.236000	-0.177657	-0.261935	-0.438134
0.237000	-0.217749	-0.182129	-1.071699
0.238000	-0.177657	-0.221917	-0.913495
0.239000	-0.217749	-0.102093	-1.231143
0.240000	-0.177657	-0.062305	-0.755782
0.241000	-0.137859	-0.062305	-1.071861
0.242000	-0.057968	-0.022287	0.512919
0.243000	-0.137859	-0.102093	-1.388108
0.244000	-0.217749	-0.141881	-0.913495
0.245000	-0.137859	-0.102093	-1.230232
0.246000	-0.057968	-0.022287	-0.596338
0.247000	-0.057676	-0.062075	-0.437805
0.248000	-0.017877	-0.141881	0.355205
0.249000	-0.177657	-0.221917	-1.862979
0.250000	-0.057968	-0.062075	0.511679
0.251000	-0.057968	-0.102093	-0.280091
0.252000	-0.137859	-0.102093	-0.597249
0.253000	-0.217749	-0.221917	-1.230232
0.254000	-0.177657	-0.182129	-0.913495
0.255000	-0.257840	-0.301723	-2.340071
0.256000	0.022214	-0.022287	0.829656
0.257000	-0.257840	-0.222146	-2.021183
0.258000	-0.217456	-0.182129	-0.755782
0.259000	-0.177657	-0.221917	-1.071699
0.260000	-0.217749	-0.261935	-1.546571
0.261000	-0.177950	-0.222146	-1.231143
0.262000	-0.017877	-0.182129	0.354294
0.263000	-0.098060	-0.142340	-1.703535
0.264000	0.022214	-0.022287	1.620514
0.265000	-0.217749	-0.182129	-1.862068
0.266000	-0.057968	-0.182129	-0.437805
0.267000	-0.017877	-0.102093	-0.438134
0.268000	-0.217749	-0.221917	-1.862979
0.269000	-0.137859	-0.062075	-2.180045
0.270000	-0.177657	-0.182129	-0.279601
0.271000	-0.098060	-0.062305	-1.071699
0.272000	-0.217749	-0.261935	-1.389019
0.273000	-0.177657	-0.221917	-1.704192
0.274000	-0.177657	-0.062075	-0.596101
0.275000	-0.057968	-0.022287	0.195761
0.276000	0.062013	0.097307	-0.278453
0.277000	-0.217456	-0.182129	-0.913166
0.278000	-0.257547	-0.222146	-2.021512
0.279000	-0.057968	-0.062305	-0.438716
0.280000	-0.097767	-0.022287	-1.071699
0.281000	-0.098060	-0.022287	0.036317
0.282000	-0.217456	-0.182129	-2.178897
0.283000	-0.177657	-0.182129	-0.439045
0.284000	-0.177950	-0.102093	-0.596758
0.285000	-0.097767	-0.022287	-0.438134
0.286000	-0.137859	-0.062305	-0.120157
0.287000	0.021922	0.097307	0.512919
0.288000	-0.018170	0.017731	-0.595518
0.289000	-0.017877	-0.022287	0.355696
0.290000	-0.217749	-0.182129	-2.337101
0.291000	-0.297639	-0.261705	-1.072939
0.292000	-0.177657	-0.261935	-1.071699
0.293000	-0.257547	-0.261705	-0.913166
0.294000	-0.217456	-0.261705	-1.388108
