Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Juan Jorquera Bonafonte,RUNNING,04/04/2018,13:06:11,00:48:45,8.72,152,10.7,19.8,05:36,03:02,624,24,80,,58,100,69,53,9,176.0,80.0,199,55,51,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,99,4.8,12:30,0,51,,0.00,27.9,,
,00:00:01,99,4.8,12:30,0,51,,0.00,27.9,,
,00:00:02,100,4.1,14:38,0,51,,1.20,27.6,,
,00:00:03,101,3.6,16:40,0,51,,1.20,27.8,,
,00:00:04,101,3.2,18:45,0,51,,1.20,27.9,,
,00:00:05,101,3.1,19:21,0,51,,1.80,27.9,,
,00:00:06,101,2.8,21:26,0,51,,3.00,27.9,,
,00:00:07,101,2.7,22:13,0,51,,4.00,27.9,,
,00:00:08,101,2.6,23:05,0,51,,5.30,27.9,,
,00:00:09,100,2.7,22:13,0,51,,6.10,28.0,,
,00:00:10,99,3.0,20:00,0,51,,7.00,27.9,,
,00:00:11,98,3.5,17:09,0,51,,8.30,28.0,,
,00:00:12,98,4.1,14:38,19,51,,9.90,27.9,,
,00:00:13,97,4.6,13:03,19,51,,11.70,27.9,,
,00:00:14,97,4.9,12:15,19,51,,13.50,28.0,,
,00:00:15,98,5.1,11:46,36,52,,15.40,28.0,,
,00:00:16,98,5.0,12:00,36,52,,17.20,28.0,,
,00:00:17,99,5.0,12:00,52,52,,19.10,28.0,,
,00:00:18,100,5.0,12:00,52,52,,21.10,27.9,,
,00:00:19,101,4.9,12:15,57,52,,23.10,28.0,,
,00:00:20,101,4.8,12:30,57,52,,25.10,28.0,,
,00:00:21,102,4.8,12:30,58,52,,26.80,28.0,,
,00:00:22,101,4.7,12:46,60,52,,28.40,28.0,,
,00:00:23,101,4.8,12:30,60,52,,30.10,28.1,,
,00:00:24,101,5.0,12:00,60,52,,31.60,28.0,,
,00:00:25,101,5.1,11:46,60,52,,33.50,28.0,,
,00:00:26,101,5.2,11:32,60,52,,35.20,28.0,,
,00:00:27,101,5.4,11:07,60,52,,37.00,28.1,,
,00:00:28,102,5.2,11:32,60,52,,38.80,28.0,,
,00:00:29,102,5.2,11:32,60,53,,40.40,28.1,,
,00:00:30,102,5.2,11:32,60,53,,42.20,28.1,,
,00:00:31,102,5.3,11:19,59,53,,44.00,28.1,,
,00:00:32,103,5.3,11:19,60,53,,45.90,28.0,,
,00:00:33,103,5.4,11:07,60,54,,47.80,28.1,,
,00:00:34,103,5.4,11:07,60,54,,49.40,28.1,,
,00:00:35,103,5.5,10:55,60,54,,51.20,28.1,,
,00:00:36,104,5.5,10:55,60,54,,53.00,28.3,,
,00:00:37,104,5.6,10:43,60,54,,54.90,28.1,,
,00:00:38,103,5.6,10:43,60,54,,56.50,28.1,,
,00:00:39,103,5.7,10:32,60,54,,58.40,28.1,,
,00:00:40,103,5.7,10:32,60,54,,60.20,28.2,,
,00:00:41,103,5.8,10:21,60,54,,62.20,28.3,,
,00:00:42,102,5.8,10:21,60,54,,64.00,28.2,,
,00:00:43,102,5.8,10:21,60,54,,65.90,28.1,,
,00:00:44,102,5.8,10:21,59,54,,67.60,28.2,,
,00:00:45,101,5.9,10:10,59,54,,69.30,28.3,,
,00:00:46,101,5.9,10:10,59,54,,71.00,28.3,,
,00:00:47,101,5.9,10:10,59,54,,72.90,28.1,,
,00:00:48,100,5.9,10:10,59,54,,74.50,28.1,,
,00:00:49,100,5.9,10:10,59,54,,76.30,28.3,,
,00:00:50,100,5.9,10:10,59,54,,77.90,28.0,,
,00:00:51,100,6.0,10:00,59,55,,79.60,28.2,,
,00:00:52,101,6.0,10:00,59,55,,81.30,28.2,,
,00:00:53,101,6.0,10:00,59,56,,83.10,28.3,,
,00:00:54,101,6.0,10:00,59,56,,85.00,28.1,,
,00:00:55,100,6.0,10:00,60,56,,86.90,28.3,,
,00:00:56,100,6.0,10:00,60,56,,88.60,28.3,,
,00:00:57,100,6.0,10:00,60,56,,90.40,28.3,,
,00:00:58,100,6.0,10:00,60,56,,91.90,28.3,,
,00:00:59,100,5.9,10:10,60,56,,93.50,28.3,,
,00:01:00,101,5.9,10:10,60,56,,94.90,28.3,,
,00:01:01,101,5.9,10:10,60,56,,96.60,28.3,,
,00:01:02,101,5.9,10:10,60,56,,98.20,28.3,,
,00:01:03,101,5.8,10:21,60,57,,99.80,28.1,,
,00:01:04,102,5.8,10:21,60,57,,101.00,28.3,,
,00:01:05,102,5.8,10:21,60,57,,102.30,28.4,,
,00:01:06,103,5.8,10:21,60,57,,103.90,28.4,,
,00:01:07,104,5.8,10:21,60,58,,105.60,28.3,,
,00:01:08,104,5.9,10:10,60,58,,107.40,28.3,,
,00:01:09,105,5.9,10:10,60,58,,109.20,28.3,,
,00:01:10,105,5.9,10:10,60,58,,111.00,28.1,,
,00:01:11,105,6.0,10:00,60,58,,112.60,28.4,,
,00:01:12,105,6.0,10:00,59,58,,114.60,28.3,,
,00:01:13,105,6.1,09:50,59,58,,116.60,28.3,,
,00:01:14,105,6.2,09:41,59,58,,118.80,28.4,,
,00:01:15,105,6.3,09:31,61,58,,121.00,28.3,,
,00:01:16,105,6.4,09:23,61,58,,123.10,28.4,,
,00:01:17,104,6.4,09:23,62,58,,125.20,28.3,,
,00:01:18,104,6.4,09:23,62,58,,127.00,28.3,,
,00:01:19,103,6.5,09:14,62,58,,129.20,28.4,,
,00:01:20,102,6.5,09:14,62,58,,131.20,28.4,,
,00:01:21,101,6.5,09:14,62,58,,133.10,28.4,,
,00:01:22,101,6.6,09:05,62,58,,135.00,28.4,,
,00:01:23,101,6.6,09:05,62,58,,136.70,28.4,,
,00:01:24,101,6.6,09:05,62,58,,138.60,28.3,,
,00:01:25,101,6.6,09:05,62,57,,140.30,28.3,,
