CSV File Version 2
Avi TimeStamp, Frame,Spot x,Spot y,Pupil x,Pupil y,Pupil r,Scene x,Scene y,Mouse x, Mouse y
 0:00:00.00, 1, 325.27,306.79,331.76,295.30,51.74,280.28,254.46,726.00,601.00
 0:00:00.03, 2, 325.50,306.23,331.80,295.28,51.48,279.69,256.27,726.00,601.00
 0:00:00.06, 3, 325.81,306.60,332.27,295.01,51.57,279.95,256.67,726.00,601.00
 0:00:00.10, 4, 325.85,306.52,331.83,294.84,51.57,278.70,254.96,726.00,601.00
 0:00:00.13, 5, 325.70,306.79,332.13,295.89,51.55,279.06,257.42,726.00,601.00
 0:00:00.16, 6, 325.51,307.00,331.42,295.88,51.67,278.32,257.82,726.00,601.00
 0:00:00.20, 7, 325.70,306.79,331.53,295.72,51.52,277.88,257.03,726.00,601.00
 0:00:00.23, 8, 325.89,306.98,331.79,295.76,51.46,277.97,257.31,726.00,601.00
 0:00:00.26, 9, 325.94,307.70,331.56,295.84,51.01,277.23,256.23,726.00,601.00
 0:00:00.30, 10, 326.17,307.58,333.03,295.78,51.13,279.94,254.20,726.00,601.00
 0:00:00.33, 11, 326.13,307.89,332.93,296.12,51.04,280.99,254.98,726.00,601.00
 0:00:00.36, 12, 326.03,308.44,332.82,297.71,51.05,280.94,258.10,726.00,601.00
 0:00:00.40, 13, 326.09,308.76,333.10,297.41,51.10,281.58,257.47,726.00,601.00
 0:00:00.43, 14, 326.03,308.44,332.44,298.07,50.70,280.33,258.32,726.00,601.00
 0:00:00.46, 15, 325.58,307.71,331.93,296.81,51.03,279.07,257.66,726.00,601.00
 0:00:00.50, 16, 325.12,307.17,330.95,294.24,51.32,277.58,251.92,726.00,601.00
 0:00:00.53, 17, 324.50,306.70,329.85,294.24,51.23,275.63,250.63,726.00,601.00
 0:00:00.56, 18, 324.35,306.13,329.70,293.65,51.04,275.56,251.07,726.00,601.00
 0:00:00.60, 19, 324.08,306.01,329.15,293.41,51.04,274.77,251.43,726.00,601.00
 0:00:00.63, 20, 325.85,295.29,336.08,272.05,50.15,285.66,207.46,726.00,601.00
 0:00:00.66, 21, 326.76,292.51,337.25,266.38,50.87,290.80,198.23,726.00,601.00
 0:00:00.70, 22, 328.13,292.84,338.46,266.58,50.86,291.25,198.68,726.00,601.00
 0:00:00.73, 23, 328.84,293.32,339.38,267.45,50.85,290.93,199.69,726.00,601.00
 0:00:00.76, 24, 329.24,293.78,339.80,267.69,50.81,290.90,199.59,726.00,601.00
 0:00:00.80, 25, 329.27,294.17,340.12,268.43,50.89,291.25,200.08,726.00,601.00
 0:00:00.83, 26, 329.17,290.98,341.66,261.65,50.72,294.35,188.18,726.00,601.00
 0:00:00.86, 27, 328.93,290.63,341.09,261.22,50.84,295.33,187.46,726.00,601.00
 0:00:00.90, 28, 329.15,290.16,339.99,260.03,50.22,292.28,185.39,726.00,601.00
 0:00:00.93, 29, 329.03,289.72,340.97,258.29,50.57,292.82,181.03,726.00,601.00
 0:00:00.96, 30, 329.14,288.74,340.28,257.39,50.02,292.39,178.73,726.00,601.00
 0:00:01.00, 31, 329.26,287.87,341.06,255.01,50.14,292.88,175.02,726.00,601.00
 0:00:01.03, 32, 329.46,287.14,341.19,254.17,49.93,293.53,172.91,726.00,601.00
 0:00:01.06, 33, 329.54,286.58,341.94,252.76,50.04,294.84,170.75,726.00,601.00
 0:00:01.10, 34, 329.61,285.94,341.68,251.22,49.59,294.72,167.14,726.00,601.00
 0:00:01.13, 35, 329.66,284.09,341.85,248.72,49.62,294.44,162.45,726.00,601.00
 0:00:01.16, 36, 329.83,282.00,342.76,245.47,49.56,296.33,158.12,726.00,601.00
 0:00:01.20, 37, 330.12,280.86,342.98,243.22,49.84,297.07,155.06,726.00,601.00
 0:00:01.23, 38, 330.03,280.04,342.58,241.62,49.61,295.78,152.07,726.00,601.00
 0:00:01.26, 39, 330.07,279.96,342.67,241.27,49.75,295.63,151.45,726.00,601.00
 0:00:01.30, 40, 330.12,280.05,343.02,241.12,50.04,296.38,150.68,726.00,601.00
 0:00:01.33, 41, 330.07,279.96,343.16,241.18,50.17,297.07,150.48,726.00,601.00
 0:00:01.36, 42, 332.38,280.40,348.04,241.85,50.48,305.83,151.78,726.00,601.00
 0:00:01.40, 43, 332.39,280.31,347.83,242.27,50.67,305.96,152.65,726.00,601.00
 0:00:01.43, 44, 332.19,280.61,347.55,242.40,50.95,305.34,153.48,726.00,601.00
 0:00:01.46, 45, 331.76,281.33,346.74,243.28,51.23,304.12,154.34,726.00,601.00
 0:00:01.50, 46, 331.21,281.56,345.89,243.95,51.34,302.85,155.00,726.00,601.00
 0:00:01.53, 47, 330.88,281.88,344.90,244.21,51.12,301.20,155.62,726.00,601.00
 0:00:01.56, 48, 330.30,282.23,344.78,244.92,51.42,301.26,156.52,726.00,601.00
 0:00:01.60, 49, 330.23,282.19,344.16,245.03,51.64,301.05,156.81,726.00,601.00
 0:00:01.63, 50, 330.12,282.46,343.87,245.42,51.43,299.99,157.82,726.00,601.00
 0:00:01.66, 51, 330.11,282.97,343.85,246.68,51.63,299.93,160.33,726.00,601.00
 0:00:01.70, 52, 330.01,283.00,343.86,246.97,51.58,300.10,161.28,726.00,601.00
 0:00:01.73, 53, 330.03,283.63,343.79,247.61,51.58,300.19,162.54,726.00,601.00
 0:00:01.76, 54, 329.93,284.17,343.51,248.34,51.66,299.54,162.93,726.00,601.00
 0:00:01.80, 55, 329.72,284.30,343.27,249.64,51.59,299.25,165.66,726.00,601.00
 0:00:01.83, 56, 329.47,285.69,342.70,250.94,51.63,298.52,168.86,726.00,601.00
 0:00:01.86, 57, 329.41,286.19,341.56,251.69,51.41,295.77,168.15,726.00,601.00
 0:00:01.90, 58, 329.12,286.95,341.60,253.28,51.71,295.12,171.10,726.00,601.00
 0:00:01.93, 59, 328.85,287.36,341.26,253.87,51.69,295.40,172.13,726.00,601.00
 0:00:01.96, 60, 328.82,287.56,341.41,253.76,51.77,295.96,171.21,726.00,601.00
 0:00:02.00, 61, 328.93,287.44,341.03,254.30,51.72,295.21,172.08,726.00,601.00
 0:00:02.03, 62, 329.07,287.34,341.08,253.98,51.47,294.46,172.41,726.00,601.00
 0:00:02.07, 63, 329.25,287.08,341.61,254.13,51.89,295.22,172.95,726.00,601.00
 0:00:02.10, 64, 329.99,287.39,342.78,254.25,51.90,297.25,173.78,726.00,601.00
 0:00:02.13, 65, 330.95,288.05,344.41,254.79,52.10,299.56,173.67,726.00,601.00
 0:00:02.17, 66, 330.86,288.21,344.38,255.49,52.08,299.42,174.20,726.00,601.00
 0:00:02.20, 67, 330.58,288.26,344.23,255.45,52.33,299.60,174.51,726.00,601.00
 0:00:02.23, 68, 330.47,287.83,343.80,254.94,52.42,299.14,173.45,726.00,601.00
 0:00:02.27, 69, 330.33,287.56,343.96,254.26,52.53,299.41,172.49,726.00,601.00
 0:00:02.30, 70, 330.53,287.43,343.81,253.97,52.60,299.31,171.76,726.00,601.00
 0:00:02.33, 71, 330.61,287.21,343.43,253.64,52.61,297.66,171.17,726.00,601.00
 0:00:02.37, 72, 330.41,286.47,343.91,253.12,53.00,298.41,170.79,726.00,601.00
 0:00:02.40, 73, 328.94,286.92,339.99,253.93,52.88,292.23,174.00,726.00,601.00
 0:00:02.43, 74, 328.60,286.83,340.50,253.58,53.27,292.49,172.97,726.00,601.00
 0:00:02.47, 75, 328.63,286.65,340.40,252.87,53.32,293.50,171.07,726.00,601.00
 0:00:02.50, 76, 328.82,286.53,340.21,253.46,53.38,292.67,172.38,726.00,601.00
 0:00:02.53, 77, 328.65,286.46,340.46,253.22,53.58,292.86,172.94,726.00,601.00
 0:00:02.57, 78, 328.65,286.46,340.27,253.10,53.93,293.06,172.48,726.00,601.00
 0:00:02.60, 79, 328.44,286.44,340.32,253.27,54.24,293.24,172.80,726.00,601.00
 0:00:02.63, 80, 328.86,286.24,341.14,253.17,54.46,295.15,173.01,726.00,601.00
 0:00:02.67, 81, 328.91,286.13,341.04,253.08,54.49,294.88,173.32,726.00,601.00
 0:00:02.70, 82, 328.87,286.15,340.83,252.98,54.72,294.21,173.22,726.00,601.00
 0:00:02.73, 83, 328.75,286.04,341.30,252.21,54.67,295.23,171.13,726.00,601.00
 0:00:02.77, 84, 328.59,285.75,340.81,251.96,54.78,295.07,170.09,726.00,601.00
 0:00:02.80, 85, 328.46,285.68,340.52,251.82,54.58,294.37,170.29,726.00,601.00
 0:00:02.83, 86, 328.69,285.91,341.06,252.05,54.73,295.29,170.61,726.00,601.00
 0:00:02.87, 87, 328.55,285.93,340.28,252.56,54.56,293.78,171.66,726.00,601.00
 0:00:02.90, 88, 327.71,286.08,339.14,252.51,54.48,291.62,172.02,726.00,601.00
 0:00:02.93, 89, 327.55,286.07,339.05,252.56,54.55,292.12,171.66,726.00,601.00
 0:00:02.97, 90, 325.79,285.91,335.57,251.98,54.64,286.46,170.60,726.00,601.00
 0:00:03.00, 91, 325.70,285.88,336.09,252.14,54.69,287.63,170.71,726.00,601.00
 0:00:03.03, 92, 325.54,285.85,335.73,252.12,54.86,287.80,170.98,726.00,601.00
 0:00:03.07, 93, 325.46,285.85,335.55,251.96,54.77,287.41,170.64,726.00,601.00
 0:00:03.10, 94, 325.42,285.74,335.61,251.33,54.96,287.52,168.88,726.00,601.00
 0:00:03.13, 95, 325.60,285.50,335.42,251.62,54.91,287.02,169.40,726.00,601.00
 0:00:03.17, 96, 325.50,285.73,335.47,251.64,54.97,286.67,170.25,726.00,601.00
 0:00:03.20, 97, 325.57,285.58,335.55,251.58,55.09,287.02,169.63,726.00,601.00
 0:00:03.23, 98, 325.65,285.58,335.83,251.80,55.03,287.53,170.54,726.00,601.00
 0:00:03.27, 99, 325.65,285.47,336.27,251.42,55.16,288.70,169.94,726.00,601.00
 0:00:03.30, 100, 325.77,285.26,336.34,250.63,55.32,289.16,167.88,726.00,601.00
 0:00:03.33, 101, 325.94,284.92,336.55,250.78,55.37,289.26,168.22,726.00,601.00
 0:00:03.37, 102, 325.76,285.00,336.59,250.57,55.56,289.48,168.71,726.00,601.00
 0:00:03.40, 103, 325.84,284.69,336.26,250.31,55.56,289.02,167.91,726.00,601.00
 0:00:03.43, 104, 325.74,284.60,336.32,250.31,55.30,288.74,168.56,726.00,601.00
 0:00:03.47, 105, 325.89,284.31,336.50,250.24,55.56,289.27,168.93,726.00,601.00
 0:00:03.50, 106, 325.97,284.62,336.59,250.50,55.54,289.28,169.99,726.00,601.00
 0:00:03.53, 107, 326.28,284.89,336.65,250.42,55.31,288.91,168.94,726.00,601.00
 0:00:03.57, 108, 326.21,284.95,337.16,250.31,55.32,289.56,167.71,726.00,601.00
 0:00:03.60, 109, 326.29,285.06,336.88,251.18,55.36,289.60,169.57,726.00,601.00
 0:00:03.63, 110, 326.21,285.31,336.30,251.01,55.27,287.84,169.71,726.00,601.00
 0:00:03.67, 111, 326.11,285.38,336.54,251.54,55.31,288.03,170.08,726.00,601.00
 0:00:03.70, 112, 326.32,285.70,336.98,251.53,55.46,289.32,170.16,726.00,601.00
 0:00:03.73, 113, 326.45,285.64,337.19,251.18,55.46,289.64,168.38,726.00,601.00
 0:00:03.77, 114, 326.72,285.95,337.74,251.86,55.63,290.58,169.50,726.00,601.00
 0:00:03.80, 115, 327.02,285.91,337.71,251.92,55.85,290.18,169.75,726.00,601.00
 0:00:03.83, 116, 326.91,286.01,338.25,251.81,55.97,290.88,169.50,726.00,601.00
 0:00:03.87, 117, 327.21,285.95,338.26,252.57,56.02,291.43,171.11,726.00,601.00
 0:00:03.90, 118, 327.00,286.00,338.14,252.00,56.26,290.76,170.75,726.00,601.00
 0:00:03.93, 119, 327.14,285.80,338.25,252.30,56.43,291.15,170.88,726.00,601.00
 0:00:03.97, 120, 327.06,285.77,338.28,252.35,56.51,291.18,172.00,726.00,601.00
 0:00:04.00, 121, 327.31,285.80,338.47,251.50,56.56,291.44,169.85,726.00,601.00
 0:00:04.03, 122, 327.29,285.60,338.58,251.71,56.61,291.38,169.44,726.00,601.00
 0:00:04.07, 123, 327.36,285.56,338.68,251.53,56.57,291.71,169.85,726.00,601.00
 0:00:04.10, 124, 327.29,285.60,338.81,251.66,56.59,292.07,170.01,726.00,601.00
 0:00:04.13, 125, 327.42,285.57,339.10,251.49,56.31,292.89,169.61,726.00,601.00
 0:00:04.17, 126, 327.46,285.68,339.18,251.76,56.33,293.10,170.06,726.00,601.00
 0:00:04.20, 127, 327.41,285.75,339.22,251.92,56.27,293.28,170.45,726.00,601.00
 0:00:04.23, 128, 327.41,285.75,338.92,251.99,56.11,292.75,170.69,726.00,601.00
 0:00:04.27, 129, 327.45,285.84,339.08,251.95,56.00,292.70,170.56,726.00,601.00
 0:00:04.30, 130, 327.41,285.75,339.03,251.66,55.93,292.72,169.60,726.00,601.00
 0:00:04.33, 131, 327.45,285.84,338.96,251.59,55.88,292.53,169.18,726.00,601.00
 0:00:04.37, 132, 327.27,285.39,338.38,251.63,55.67,291.22,169.49,726.00,601.00
 0:00:04.40, 133, 327.51,285.25,339.27,251.10,55.73,292.70,169.52,726.00,601.00
