CSV File Version 2
Avi TimeStamp, Frame,Spot x,Spot y,Pupil x,Pupil y,Pupil r,Scene x,Scene y,AVI file path,Mouse x, Mouse y
 0:00:00.83, 115348, 193.85,267.52,142.92,242.08,78.81,93.58,247.27,C:\Documents and Settings\Mobile Eye\Desktop\Alejandro Barnuevo_00000.avi,295.00,605.00
 0:00:00.87, 115349, 196.32,267.62,144.59,242.95,78.04,98.35,245.92,,295.00,605.00
 0:00:00.90, 115350, 198.18,267.33,149.09,243.32,78.14,101.64,247.09,,295.00,605.00
 0:00:00.94, 115351, 200.09,266.26,151.58,242.67,77.87,104.90,247.05,,295.00,605.00
 0:00:00.97, 115352, 201.43,266.27,148.26,242.65,75.19,97.10,249.39,,295.00,605.00
 0:00:01.00, 115353, 202.09,266.68,151.37,242.86,76.25,96.71,249.66,,295.00,605.00
 0:00:01.04, 115354, 206.22,266.78,157.24,242.19,75.65,104.78,247.39,,295.00,605.00
 0:00:01.07, 115355, 243.50,264.08,228.88,230.27,67.54,193.93,220.97,,295.00,605.00
 0:00:01.10, 115356, 253.61,263.92,253.28,230.77,73.84,222.71,219.09,,295.00,605.00
 0:00:01.14, 115357, 254.77,264.74,264.06,231.58,76.31,242.73,221.81,,295.00,605.00
 0:00:01.17, 115358, 255.51,265.13,265.02,232.27,76.64,250.10,222.93,,295.00,605.00
 0:00:01.20, 115359, 255.48,265.89,264.91,233.59,76.57,249.49,224.76,,295.00,605.00
 0:00:01.24, 115360, 254.86,260.52,267.28,220.43,74.86,253.35,201.90,,295.00,605.00
 0:00:01.27, 115361, 252.42,256.00,262.08,209.36,75.51,249.07,185.35,,295.00,605.00
 0:00:01.30, 115362, 253.20,256.14,263.21,209.40,75.18,250.30,186.96,,295.00,605.00
 0:00:01.34, 115363, 253.45,256.07,261.56,208.92,74.72,246.82,185.92,,295.00,605.00
 0:00:01.40, 115364, 241.56,253.25,239.49,201.32,74.51,217.53,170.89,,295.00,605.00
 0:00:01.47, 115365, 241.79,255.75,238.73,205.74,74.09,218.42,178.62,,295.00,605.00
 0:00:01.54, 115366, 240.40,256.78,236.06,209.88,73.20,214.07,183.11,,295.00,605.00
 0:00:01.57, 115367, 219.29,254.38,195.19,204.86,73.15,160.93,175.35,,295.00,605.00
 0:00:01.64, 115368, 221.13,256.51,196.88,206.75,73.20,164.66,178.84,,295.00,605.00
 0:00:01.70, 115369, 222.40,257.33,198.97,208.29,73.05,165.40,177.75,,295.00,605.00
 0:00:01.74, 115370, 230.16,259.15,215.46,212.14,72.22,187.37,184.05,,295.00,605.00
 0:00:01.80, 115371, 231.40,257.98,217.20,212.21,71.72,189.71,183.24,,295.00,605.00
 0:00:01.84, 115372, 232.11,257.54,218.07,209.74,71.69,189.90,182.02,,295.00,605.00
 0:00:01.90, 115373, 251.80,272.27,259.02,248.06,71.75,245.84,245.53,,295.00,605.00
 0:00:01.97, 115374, 253.56,271.85,262.24,246.93,73.55,249.72,240.65,,295.00,605.00
 0:00:02.00, 115375, 253.57,271.85,262.94,248.74,74.23,250.73,243.61,,295.00,605.00
 0:00:02.07, 115376, 247.66,270.31,250.05,244.65,74.67,233.90,238.75,,295.00,605.00
 0:00:02.14, 115377, 247.90,270.38,251.71,244.08,74.79,235.92,238.03,,295.00,605.00
 0:00:02.17, 115378, 247.79,271.40,250.66,245.42,74.83,235.29,239.50,,295.00,605.00
 0:00:02.24, 115379, 246.82,271.52,249.31,245.54,74.72,233.02,238.40,,295.00,605.00
 0:00:02.27, 115380, 244.82,271.05,245.49,246.54,74.57,228.79,239.98,,295.00,605.00
 0:00:02.34, 115381, 242.49,270.97,240.99,244.20,74.33,223.17,238.03,,295.00,605.00
 0:00:02.40, 115382, 242.70,270.84,241.14,245.53,74.90,223.57,238.51,,295.00,605.00
 0:00:02.44, 115383, 242.59,270.42,241.59,244.71,74.78,224.18,238.60,,295.00,605.00
 0:00:02.50, 115384, 243.36,269.90,243.43,243.69,75.02,227.19,237.26,,295.00,605.00
 0:00:02.57, 115385, 243.74,268.49,244.05,241.30,74.85,227.96,233.78,,295.00,605.00
 0:00:02.60, 115386, 244.38,268.65,244.26,241.41,75.22,227.76,235.34,,295.00,605.00
 0:00:02.67, 115387, 244.61,268.16,245.21,240.24,75.04,228.14,233.12,,295.00,605.00
 0:00:02.74, 115388, 245.06,267.98,246.76,240.45,75.16,230.82,233.72,,295.00,605.00
 0:00:02.77, 115389, 245.13,267.94,246.90,239.53,74.88,231.46,232.80,,295.00,605.00
 0:00:02.84, 115390, 187.76,259.13,-2000.00,-2000.00,-2000.00,73.52,194.67,,295.00,605.00
 0:00:02.87, 115391, 180.26,259.57,120.32,219.75,72.72,66.51,203.62,,295.00,605.00
 0:00:02.94, 115392, 182.86,258.58,123.98,219.24,72.80,77.32,206.02,,295.00,605.00
 0:00:03.00, 115393, 185.52,257.54,126.69,215.04,70.90,78.22,200.79,,295.00,605.00
 0:00:03.04, 115394, 186.63,256.48,122.61,210.65,67.94,67.83,192.59,,295.00,605.00
 0:00:03.10, 115395, 188.83,255.80,133.52,211.97,70.42,79.20,193.33,,295.00,605.00
 0:00:03.14, 115396, 184.59,254.74,-2000.00,-2000.00,-2000.00,67.51,188.66,,295.00,605.00
 0:00:03.20, 115397, 182.17,254.32,114.98,208.28,68.59,58.32,190.77,,295.00,605.00
 0:00:03.27, 115398, 184.15,254.02,120.49,205.53,69.35,61.95,186.34,,295.00,605.00
 0:00:03.31, 115399, 185.01,253.98,120.88,208.64,68.61,63.25,190.07,,295.00,605.00
 0:00:03.37, 115400, 186.00,249.95,127.61,199.07,68.14,72.28,176.36,,295.00,605.00
 0:00:03.44, 115401, 188.28,249.90,125.41,196.17,65.44,70.65,173.06,,295.00,605.00
 0:00:03.47, 115402, 189.13,249.94,127.26,193.96,65.87,67.09,166.96,,295.00,605.00
 0:00:03.54, 115403, 191.35,249.38,-2000.00,-2000.00,-2000.00,73.06,164.04,,295.00,605.00
 0:00:03.57, 115404, 192.11,249.48,-2000.00,-2000.00,-2000.00,75.15,164.44,,295.00,605.00
 0:00:03.64, 115405, 193.53,248.87,144.47,196.03,70.48,92.86,167.57,,295.00,605.00
 0:00:03.71, 115406, 194.84,248.18,-2000.00,-2000.00,-2000.00,96.32,164.11,,295.00,605.00
 0:00:03.74, 115407, 195.37,248.36,147.29,192.66,69.44,102.98,165.76,,295.00,605.00
 0:00:03.81, 115408, 195.71,248.57,149.51,193.04,70.22,105.61,164.61,,295.00,605.00
 0:00:03.84, 115409, 195.88,248.58,141.84,190.80,66.19,93.71,161.10,,295.00,605.00
 0:00:03.91, 115410, 196.32,247.82,147.62,187.05,67.50,96.16,152.68,,295.00,605.00
 0:00:03.97, 115411, 196.38,247.88,-2000.00,-2000.00,-2000.00,96.34,152.96,,295.00,605.00
