BioWare 3.0 Export
Device:	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA
Samples (#):	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	7999	7999	7999
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	7.999000	7.999000	7.999000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	618.915344	618.915344	618.915344
Normalized length (m):	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	3.081028	0.419586	619.320618
0.001000	3.001054	0.574899	618.804115
0.002000	3.241734	0.574899	619.841286
0.003000	2.760375	0.265103	617.765194
0.004000	3.161760	0.265103	619.840683
0.005000	3.161760	0.265103	619.148781
0.006000	3.402061	0.497657	620.532928
0.007000	3.642362	0.652970	620.707298
0.008000	2.920702	0.187032	618.283615
0.009000	3.562388	0.652970	620.708298
0.010000	3.161760	0.265103	618.975952
0.011000	2.680780	0.187032	618.457405
0.012000	3.402061	0.419586	620.013031
0.013000	3.482414	0.574899	620.360107
0.014000	3.482414	0.497657	621.223797
0.015000	3.001054	0.109791	617.937027
0.016000	3.001054	0.109791	618.457016
0.017000	2.921080	0.031720	617.590317
0.018000	2.921080	0.187032	618.284218
0.019000	3.723094	0.730211	621.222927
0.020000	3.081786	-0.201664	618.626801
0.021000	3.161760	0.109791	619.492455
0.022000	3.402440	0.031720	620.356701
0.023000	3.482414	0.187032	619.840523
0.024000	3.161760	0.031720	619.146225
0.025000	3.722715	0.652970	621.918102
0.026000	2.360505	-0.744843	615.856441
0.027000	2.600806	-0.666772	617.241089
0.028000	3.482414	0.109791	620.355549
0.029000	3.562767	0.032549	621.046288
0.030000	3.482414	-0.045522	619.835529
0.031000	3.161760	-0.045522	618.974388
0.032000	3.322087	-0.201664	619.320503
0.033000	3.482414	0.031720	620.356030
0.034000	3.162139	-0.045522	618.973312
0.035000	3.723094	0.187032	621.914452
0.036000	4.044126	0.652970	623.470455
0.037000	3.402440	-0.045522	619.662128
0.038000	3.402061	-0.278906	618.279526
0.039000	3.161760	-0.279735	617.934792
0.040000	3.482793	0.108961	619.662609
0.041000	3.081786	-0.356977	617.241402
0.042000	3.322466	-0.124423	618.797474
0.043000	3.562767	0.031720	620.182419
0.044000	3.482793	-0.201664	619.837399
0.045000	3.562767	-0.047182	620.182419
0.046000	3.402440	0.108961	618.282967
0.047000	3.162139	-0.279735	617.415192
0.048000	3.081786	-0.435048	616.377739
0.049000	3.081786	-0.435048	616.549576
0.050000	3.482793	-0.279735	618.280525
0.051000	3.562767	-0.045522	618.624088
0.052000	3.883800	0.108961	620.007668
0.053000	3.322087	-0.435048	617.068481
0.054000	3.402440	-0.201664	617.241882
0.055000	3.723094	0.263444	619.491207
0.056000	4.204074	0.729381	620.878288
0.057000	4.044126	0.574069	620.875847
0.058000	2.921839	-0.822914	615.508583
0.059000	4.044126	0.419586	620.528656
0.060000	3.643120	-0.124423	618.104885
0.061000	3.402061	-0.512289	616.029556
0.062000	3.322087	-0.357807	616.203346
0.063000	3.482414	-0.201664	616.896172
0.064000	3.081786	-0.590361	615.163948
0.065000	2.600806	-1.133540	614.123936
0.066000	4.364401	0.496827	620.181465
0.067000	4.123721	-0.124423	619.487183
0.068000	3.562388	-0.356977	617.066528
0.069000	3.803067	-0.045522	618.969055
0.070000	3.963773	0.031720	619.143036
0.071000	3.723094	-0.201664	618.621956
0.072000	3.242113	-0.512289	616.029961
0.073000	4.204074	-0.045522	620.006607
0.074000	3.963773	-0.045522	619.315857
0.075000	4.203695	0.031720	620.349789
0.076000	4.924977	0.885524	622.949711
0.077000	3.081786	-0.977397	614.988503
0.078000	4.765029	0.729381	622.259327
0.079000	4.524728	0.496827	621.565540
0.080000	3.563146	-0.356977	617.582424
0.081000	3.963773	-0.278906	619.140381
0.082000	3.883800	-0.356977	618.795654
0.083000	4.364401	0.109791	621.562588
0.084000	3.803067	-0.124423	618.796143
0.085000	4.123721	0.108961	620.007118
0.086000	3.402440	-0.590361	616.199844
0.087000	4.524728	0.652140	621.566029
0.088000	4.124479	0.187032	620.354187
0.089000	4.044126	-0.201664	619.834770
0.090000	3.963773	-0.201664	619.487968
0.091000	3.963773	0.031720	620.008667
0.092000	3.643120	-0.279735	617.242195
0.093000	3.883800	-0.202494	618.622833
0.094000	3.562767	-0.279735	616.723282
0.095000	3.322845	-0.513119	616.547020
0.096000	4.364401	0.341515	620.009148
0.097000	3.964153	-0.124423	619.141380
0.098000	3.883800	-0.201664	619.316345
0.099000	3.482793	-0.668432	616.546463
0.100000	3.563146	-0.357807	617.585468
0.101000	3.723094	-0.280565	617.585468
0.102000	3.563146	-0.357807	617.241798
0.103000	3.803826	-0.125253	619.143036
0.104000	3.803826	-0.357807	618.450603
0.105000	3.242492	-1.134369	616.026443
0.106000	3.883800	-0.279735	618.798191
0.107000	3.482793	-0.590361	616.721329
0.108000	2.921839	-1.212441	614.470558
0.109000	3.322466	-0.513949	616.894608
0.110000	3.162139	-0.824574	615.164436
0.111000	3.402819	-0.435878	617.414627
0.112000	3.563146	-0.357807	617.930134
0.113000	3.563146	-0.513119	617.582546
0.114000	3.883800	-0.357807	618.968758
0.115000	2.280531	-1.677548	612.390636
0.116000	3.402819	-0.824574	616.547020
0.117000	2.761891	-1.211611	614.470047
0.118000	3.162897	-0.824574	616.375183
0.119000	3.322845	-0.979057	617.410587
0.120000	3.884179	-0.357807	619.833328
0.121000	3.803826	-0.513119	619.313904
0.122000	3.482793	-0.591190	617.758297
0.123000	3.483172	-0.357807	618.624401
0.124000	3.563146	-0.513119	619.316345
0.125000	3.563146	-0.280565	618.970024
0.126000	4.044505	-0.047182	621.389790
0.127000	4.044505	0.108961	621.737942
0.128000	4.685434	0.573239	624.332024
0.129000	4.525107	0.341515	622.775913
0.130000	3.322845	-0.591190	618.623913
0.131000	3.643878	-0.357807	619.315857
0.132000	3.803826	-0.202494	619.835281
0.133000	3.162897	-0.591190	618.277203
0.134000	3.563146	-0.357807	619.834877
0.135000	3.402819	-0.591190	618.969055
0.136000	4.445133	0.418756	623.641644
0.137000	3.002191	-1.057128	617.238277
0.138000	3.082544	-0.668432	618.278767
0.139000	2.280531	-1.444995	614.645405
0.140000	2.761891	-1.057128	616.201904
0.141000	2.842244	-0.824574	616.549492
0.142000	3.483172	-0.357807	618.969543
0.143000	3.082544	-0.668432	617.930012
0.144000	3.723852	-0.357807	619.660019
0.145000	2.921839	-1.212441	615.508018
0.146000	3.402819	-0.357807	618.277721
0.147000	3.002191	-1.057128	616.027046
0.148000	3.483172	-0.125253	618.798702
0.149000	3.964532	-0.047182	620.009148
0.150000	4.044505	-0.047182	621.044552
0.151000	3.723852	-0.202494	619.315170
0.152000	3.643120	-0.513119	618.796234
0.153000	3.242492	-0.513119	616.895119
0.154000	3.402819	-0.435878	617.238277
0.155000	3.562767	-0.047182	618.278294
0.156000	3.322845	-0.513949	616.721733
0.157000	3.803826	-0.202494	618.795181
0.158000	4.204832	0.417926	621.564465
0.159000	3.884179	-0.047182	619.315170
0.160000	3.883800	-0.203324	618.620872
0.161000	3.002191	-0.979057	615.508018
0.162000	3.483172	-0.435048	618.103924
0.163000	3.322845	-0.435048	617.064327
0.164000	3.724231	-0.202494	619.139725
0.165000	4.445133	0.651310	622.083492
0.166000	3.964532	-0.280565	619.830196
0.167000	3.242492	-0.822914	617.235161
0.168000	3.803826	-0.202494	618.968460
0.169000	3.322845	-0.824574	616.542339
0.170000	3.884179	-0.280565	619.314087
0.171000	3.002571	-0.824574	615.503803
0.172000	3.643878	-0.591190	617.753616
0.173000	3.804205	-0.357807	619.136776
0.174000	3.884179	-0.202494	620.174259
0.175000	4.525107	0.495997	622.081928
0.176000	3.082544	-1.057128	615.329937
0.177000	3.403198	-0.747333	616.716648
0.178000	4.525486	0.574069	621.910091
0.179000	3.243250	-0.513949	616.889927
0.180000	3.884558	-0.202494	619.137287
0.181000	4.044885	-0.125253	619.829502
0.182000	4.044885	0.107301	620.350491
0.183000	4.044126	-0.125253	618.794022
0.184000	3.643878	-0.280565	617.410339
0.185000	3.803826	-0.202494	618.275566
0.186000	4.124858	0.495997	619.315964
0.187000	4.124858	0.417926	619.142174
0.188000	3.563904	-0.435878	617.407387
0.189000	3.322845	-0.590361	616.023151
0.190000	4.044505	-0.125253	618.791073
0.191000	3.723852	-0.203324	616.542648
0.192000	3.483172	-0.513949	615.678516
0.193000	3.723852	-0.203324	617.062759
0.194000	3.322845	-0.358637	615.161537
0.195000	4.044885	0.340685	619.137691
0.196000	2.762270	-1.212441	613.598579
0.197000	3.403198	-0.824574	615.502163
0.198000	3.803826	-0.280565	616.887794
0.199000	3.002571	-0.591190	614.293358
0.200000	3.162897	-0.435878	615.158016
0.201000	3.162897	-0.358637	615.504726
0.202000	3.002949	-0.513949	614.120171
0.203000	3.563904	-0.203324	616.887794
0.204000	3.563904	-0.357807	616.715469
0.205000	3.964532	0.184542	618.790501
0.206000	3.723852	-0.281395	616.196941
0.207000	3.884558	0.184542	618.100212
0.208000	3.403198	-0.358637	615.676441
0.209000	3.002949	-0.824574	614.289349
0.210000	3.804205	-0.125253	618.096691
0.211000	3.884558	0.029230	618.788425
0.212000	4.285185	0.340685	620.346485
0.213000	4.285185	0.495997	620.347378
0.214000	3.804205	-0.047182	618.617100
0.215000	4.205211	0.417926	620.175617
0.216000	4.926492	0.961935	622.426788
0.217000	2.682296	-1.212441	613.251778
0.218000	3.563904	-0.435878	616.540131
0.219000	3.724231	-0.435878	618.267345
0.220000	4.285185	0.340685	620.694073
0.221000	4.525486	0.418756	620.692520
0.222000	3.804205	-0.125253	618.617100
0.223000	4.205211	0.417926	619.829426
0.224000	4.285185	0.417926	620.002140
0.225000	4.205211	0.495997	619.830303
0.226000	4.525486	0.495997	620.865799
0.227000	5.086819	1.194489	624.155613
0.228000	4.285185	0.418756	620.520687
0.229000	5.406715	1.427873	624.503681
0.230000	3.964532	0.107301	618.445057
0.231000	4.044505	0.417926	619.311756
0.232000	3.483172	0.029230	617.063461
0.233000	3.964532	0.340685	619.311756
0.234000	4.044505	0.263444	618.617367
0.235000	3.643878	-0.357807	616.711845
0.236000	4.445133	0.574069	620.004101
0.237000	2.922218	-0.513119	614.116238
0.238000	3.002571	-0.591190	614.116344
0.239000	2.761891	-0.979057	613.252090
0.240000	3.483172	-0.047182	616.542480
0.241000	3.884179	0.107301	618.270191
0.242000	4.044505	0.418756	619.656902
0.243000	4.044505	0.418756	619.652775
0.244000	3.964153	0.340685	618.443981
0.245000	3.322845	-0.202494	616.887016
0.246000	3.883800	0.495997	618.617367
0.247000	3.563146	0.107301	617.408005
0.248000	4.525107	1.271730	621.562527
0.249000	3.803826	0.107301	618.617367
0.250000	3.803826	0.108961	618.443020
0.251000	3.884179	0.263444	618.962437
0.252000	3.643120	-0.047182	617.407616
0.253000	3.402819	-0.202494	616.715179
0.254000	3.563146	0.263444	617.578934
0.255000	4.044505	0.651310	620.348728
0.256000	3.002191	-0.357807	616.192238
0.257000	3.483172	-0.279735	618.441059
0.258000	3.082544	-0.512289	616.884941
0.259000	3.563146	0.108961	619.652294
0.260000	3.884179	0.263444	619.309101
0.261000	3.803826	0.418756	619.828526
0.262000	4.044126	0.652140	621.213772
0.263000	3.402819	0.263444	618.443020
0.264000	3.803826	0.263444	619.478909
0.265000	3.884179	0.341515	620.690826
0.266000	3.483172	0.031720	618.959881
0.267000	4.444754	0.885524	623.115383
0.268000	4.525107	0.961935	622.425606
0.269000	4.124479	0.574069	621.558914
0.270000	3.402819	0.263444	618.269619
0.271000	3.643878	0.341515	619.999287
0.272000	4.124479	0.651310	621.730751
0.273000	4.044505	0.496827	621.730659
0.274000	4.284427	0.729381	622.421528
0.275000	3.963773	0.574069	620.520260
0.276000	4.765408	1.427873	623.635319
0.277000	4.124479	0.961935	621.559792
0.278000	3.803826	0.574069	619.657101
0.279000	3.403198	0.263444	618.443287
0.280000	4.124479	0.729381	621.040859
0.281000	4.044505	0.574069	621.212204
0.282000	4.124479	0.806622	621.039200
0.283000	3.643120	0.574069	619.134151
0.284000	3.402819	0.263444	617.752548
0.285000	3.884179	0.884694	620.347469
0.286000	2.761891	-0.124423	615.674400
0.287000	3.402819	0.263444	618.441334
0.288000	4.124479	0.807452	621.557350
0.289000	4.124479	0.729381	620.517815
0.290000	3.964153	0.729381	620.172672
0.291000	3.563146	0.418756	618.096218
0.292000	3.483172	0.418756	618.269497
0.293000	3.403198	0.418756	618.096218
0.294000	3.322845	0.418756	618.096218
0.295000	4.204832	0.884694	621.731148
0.296000	3.964153	0.729381	619.825886
0.297000	3.803826	0.729381	619.825886
0.298000	3.162139	-0.125253	615.498138
0.299000	3.242492	0.263444	616.366814
0.300000	3.483172	0.495997	618.096096
0.301000	3.242492	0.573239	616.540092
0.302000	3.643878	0.495997	618.614246
0.303000	3.964153	0.652140	619.131718
0.304000	3.964532	0.496827	620.341995
0.305000	4.204832	0.807452	620.689575
0.306000	2.601185	-0.435048	614.285233
0.307000	3.002191	-0.202494	615.671448
0.308000	4.445133	1.427873	621.731445
0.309000	3.082544	-0.047182	616.187344
0.310000	4.204832	0.962765	621.383858
0.311000	4.124858	0.884694	620.862885
0.312000	4.285185	0.884694	621.551670
0.313000	4.044505	0.574069	619.652004
0.314000	4.044505	0.574069	619.131504
0.315000	4.445133	1.350631	621.384750
0.316000	3.643878	0.340685	618.092480
