Devices
1000
,,Imported Kistler Force Plate (Internal Amplifier) - Force,,,Imported Kistler Force Plate (Internal Amplifier) - Moment,,,Imported Kistler Force Plate (Internal Amplifier) - CoP,,,Imported Kistler Force Plate (Internal Amplifier) - Force,,,Imported Kistler Force Plate (Internal Amplifier) - Moment,,,Imported Kistler Force Plate (Internal Amplifier) - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-11.9084,-2.05446,-623.08,-117956,69056.2,-3155.91,410.83,639.311,0,31.4443,-26.4132,-311.63,-8336.62,-65271.3,7143.79,712.549,476.752,0
1,1,-12.5775,-2.92887,-631.291,-118736,68585,-3158.05,408.642,638.084,0,30.6899,-26.0587,-307.015,-6820.24,-64327.8,7046.32,712.474,472.215,0
1,2,-12.6745,-1.68551,-624.409,-120091,68328.6,-2895.92,409.429,642.328,0,30.527,-24.361,-303.518,-6110.93,-63817.5,7209.22,711.741,470.134,0
1,3,-12.8787,-1.15746,-626.89,-122028,68377.4,-2840.4,409.074,644.657,0,31.1868,-24.883,-303.28,-6838.41,-63375.2,7380.4,713.034,472.548,0
1,4,-13.1611,-0.537442,-633.612,-122916,68393.1,-2931.54,407.942,643.992,0,30.8302,-24.9221,-295.112,-8688.61,-62233.8,7042.61,711.118,479.442,0
2,0,-14.2439,0.151929,-631.568,-123591,68918,-2293.77,409.122,645.689,0,28.3533,-24.8066,-296.173,-5734.76,-60423.1,7383.72,717.987,469.363,0
2,1,-13.4405,0.252753,-638.664,-125133,67545.4,-2440.39,405.76,645.929,0,28.178,-24.7259,-294.225,-7922.46,-61594.6,6890.46,712.655,476.927,0
2,2,-13.9979,0.639207,-641.505,-123144,69114.4,-1769.25,407.738,641.961,0,26.9157,-24.2686,-290.623,-4980.37,-60336.5,7397.77,714.389,467.137,0
2,3,-13.9278,1.70308,-638.344,-127352,68920.1,-2463.22,407.967,649.504,0,26.4212,-24.6465,-291.402,-6330.77,-58943.7,6856.28,719.723,471.725,0
2,4,-12.9322,2.77292,-647.241,-129033,69127.2,-1595.65,406.803,649.359,0,26.3982,-22.7743,-280.84,-6182.97,-57486.9,7376.41,717.304,472.016,0
3,0,-14.8482,2.77447,-642.647,-127635,67314.9,-1702.21,404.746,648.608,0,24.988,-23.6929,-279.203,-7272.86,-58357.2,6689.46,712.987,476.049,0
3,1,-14.2862,4.16275,-646.212,-131714,68666.3,-1667.96,406.26,653.825,0,25.2628,-22.4344,-269.327,-6291.06,-55865.6,7036.59,714.573,473.358,0
3,2,-14.8948,2.85246,-652.611,-130908,68408.7,-1461.31,404.823,650.591,0,23.77,-22.154,-267.115,-6389.92,-55913,6466.6,712.678,473.922,0
3,3,-14.568,4.90886,-654.656,-132266,68911.3,-1497.67,405.263,652.039,0,23.9718,-22.5142,-267.162,-5603.55,-54210.1,6346.26,719.089,470.974,0
3,4,-15.176,5.64033,-657.222,-133722,68177.9,-1389.53,403.736,653.466,0,23.3935,-21.739,-263.526,-4780.97,-55072.6,6469.33,713.016,468.142,0
4,0,-13.7041,6.36051,-660.414,-135398,67454.6,-1361.84,402.14,655.02,0,23.5961,-21.0402,-259.721,-7950,-53783.9,6165.31,714.917,480.61,0
4,1,-15.7163,7.05165,-657.667,-135772,67820.2,-855.722,403.122,656.445,0,22.2384,-21.5628,-254.681,-6287,-51090.7,6410.33,721.393,474.686,0
4,2,-14.9741,7.87553,-658.67,-137989,66548.7,-1008.85,401.035,659.497,0,22.0003,-20.3997,-252.863,-6856.27,-51092.7,5820.41,719.943,477.115,0
4,3,-15.6955,7.3765,-665.4,-138295,68918.8,-654.352,403.575,657.837,0,21.6993,-21.0436,-251.97,-4586.75,-50789.1,6356.22,720.432,468.204,0
4,4,-15.5003,8.38143,-665.693,-140690,66908.9,-1005.74,400.51,661.344,0,21.7438,-20.7427,-249.609,-6342.19,-51123.4,5801.08,717.186,475.409,0
5,0,-15.9957,8.93119,-670.929,-141289,68693.5,-119.053,402.386,660.588,0,19.9412,-20.3864,-242.906,-4706.04,-48551.4,6501.99,722.123,469.374,0
5,1,-15.9396,9.63475,-673.509,-141432,67327.7,-358.132,399.966,659.993,0,19.9865,-20.6459,-245.314,-5891.13,-50021.1,5989,718.093,474.015,0
5,2,-17.0458,10.7418,-677.63,-144133,68922.3,-83.1195,401.711,662.702,0,18.9415,-20.6281,-233.054,-4983.8,-46821.1,6768.87,721.098,471.385,0
5,3,-16.4628,10.766,-677.307,-144183,67873.2,-3.80421,400.21,662.877,0,18.8296,-19.8104,-232.99,-5081.62,-47532.5,6034.52,717.989,471.81,0
5,4,-17.388,11.4292,-678.968,-144940,69054.5,148.79,401.705,663.472,0,17.9297,-18.4906,-226.778,-6265.94,-45210.5,5921.86,722.64,477.63,0
6,0,-17.7741,11.2355,-683.633,-145873,67999,176.327,399.467,663.38,0,17.955,-19.9115,-223.925,-4852.14,-45676.6,5726.63,718.018,471.669,0
6,1,-16.9624,12.2611,-688.926,-148491,68251.3,693.139,399.069,665.539,0,18.0934,-17.7741,-221.852,-5501.16,-44585,5669.44,721.033,474.797,0
6,2,-18.8987,12.1463,-685.337,-148172,68132.6,730.961,399.415,666.202,0,16.6591,-18.4551,-222.855,-5127.76,-42756.9,5514.9,730.14,473.009,0
